"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"1" "mmds-2" "3" "30" "1" "6.72200031790829" "-1.99337706582731" "-0.676987689401676" "4.17641037153918" "-2.35282074307836" "137.851574422311" "255.647722307898"
"2" "mmds-1" "3" "30" "1" "-0.420336665695886" NA NA "-1.89663679498463" "5.79327358996925" "137.851574422311" "50.6695974073655"
"3" "cds-hnc" "3" "30" "1" NA NA NA "0.592071013196792" "5.79327358996927" "137.851574422311" "50.6695976180625"
"4" "cds-hrp" "3" "30" "1" NA NA NA NA NA NA NA
"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"1" "mmds-2" "3" "30" "2" "3.80555202336842" "-1.3399438836319" "-0.308346849363387" "3.24070737056222" "-0.48141474112443" "137.851574422311" "101.567302495319"
"2" "mmds-1" "3" "30" "2" "-0.573098556424585" NA NA "1.89533921990822" "-1.79067843981644" "137.851574422311" "59.5421677136473"
"3" "cds-hnc" "3" "30" "2" NA NA NA "0.503844603667065" "-1.79067843981644" "137.851574422311" "59.5421679256957"
"4" "cds-hrp" "3" "30" "2" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "30" "3" "3.65377017370603" "-0.940662085485455" "-0.670222487219556" "3.01578895906363" "-0.0315779181272644" "137.851574422311" "84.9610799427471"
"2" "mmds-1" "3" "30" "3" "-0.763373058749618" NA NA "2.88153208302454" "-3.76306416604909" "137.851574422311" "76.7280829640913"
"3" "cds-hnc" "3" "30" "3" NA NA NA "0.390991204171027" "-3.76306416604843" "137.851574422311" "76.72806876463"
"4" "cds-hrp" "3" "30" "3" NA NA NA "0.360179463978897" "-1.97926584148553" "137.851574422311" "83.291811444746"
"1" "mmds-2" "3" "30" "1" "3.33541555490405" "-1.00777657554231" "-0.215132949236939" "1.86709809195128" "2.26580381609743" "137.851574422311" "70.9390784312696"
"2" "mmds-1" "3" "30" "1" "-0.553871726208728" NA NA "1.61976801356007" "-1.23953602712013" "137.851574422311" "58.2275672269497"
"3" "cds-hnc" "3" "30" "1" NA NA NA "0.515219875778431" "-1.23953602712012" "137.851574422311" "58.2275673171068"
"4" "cds-hrp" "3" "30" "1" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "30" "5" "4.71739050491498" "-2.80343029824874" "-0.857695531016317" "2.77538503125696" "0.449229937486086" "137.851574422311" "487.36193577921"
"2" "mmds-1" "3" "30" "5" "0.377141205969412" NA NA "-1.60815530299958" "5.21631060599917" "137.851574422311" "33.6657498205542"
"3" "cds-hnc" "3" "30" "5" NA NA NA "0.891113392481315" "5.21631060599917" "137.851574422311" "33.6657492224022"
"4" "cds-hrp" "3" "30" "5" NA NA NA "1" "7.35438668769906" "137.851574422311" "30"
"1" "mmds-2" "3" "30" "4" "-0.666024760291837" "-4.60350580328609" "-1.41641113208684" "1.94683427640814" "2.10633144718371" "137.851574422311" "4872.23223848302"
"2" "mmds-1" "3" "30" "4" "-0.70723546602263" NA NA "-0.389057492889987" "2.77811498577997" "137.851574422311" "70.7588287786179"
"3" "cds-hnc" "3" "30" "4" NA NA NA "0.423975358515863" "2.77811498577998" "137.851574422311" "70.7588292513408"
"4" "cds-hrp" "3" "30" "4" NA NA NA "0.698737871721691" "4.04053694134463" "137.851574422311" "42.9345555953336"
"1" "mmds-2" "3" "30" "7" "3.24354694692738" "-1.29648845652809" "-0.551934185323723" "3.31954711751932" "-0.639094235038646" "137.851574422311" "123.403701170716"
"2" "mmds-1" "3" "30" "7" "-0.791726031639535" NA NA "1.78506799457882" "-1.57013598915764" "137.851574422311" "80.0853456236656"
"3" "cds-hnc" "3" "30" "7" NA NA NA "0.374600370658302" "-1.57013598915763" "137.851574422311" "80.0853452100959"
"4" "cds-hrp" "3" "30" "7" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "30" "11" "-0.673821645545595" "-0.673841388179186" "-0.427000109837708" "3.25630842237303" "-0.512616844746052" "137.851574422311" "67.5951440844888"
"2" "mmds-1" "3" "30" "11" "-0.673838575870258" NA NA "3.2563084223798" "-4.51261684475959" "137.851574422311" "67.5951469059072"
"3" "cds-hnc" "3" "30" "11" NA NA NA "0.443818844080524" "-4.51261684475958" "137.851574422311" "67.5951469842434"
"4" "cds-hrp" "3" "30" "11" NA NA NA "0.474089171172626" "-2.95739710788214" "137.851574422311" "63.2792348447807"
"1" "mmds-2" "3" "30" "2" "-0.291944564275985" "-5.37739723594595" "-2.12874766535708" "2.5116509424294" "0.976698115141208" "137.851574422311" "23351.5588115046"
"2" "mmds-1" "3" "30" "2" "-0.382483135600684" NA NA "-1.71818022060936" "5.43636044121871" "137.851574422311" "48.9490306338582"
"3" "cds-hnc" "3" "30" "2" NA NA NA "0.612882403986965" "5.43636044121872" "137.851574422311" "48.9490313391964"
"4" "cds-hrp" "3" "30" "2" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "30" "6" "3.16475600541904" "-1.35279093619915" "-0.447641798032513" "0.397067691348792" "5.20586461730242" "137.851574422311" "118.57003076411"
"2" "mmds-1" "3" "30" "6" "-0.725558996621648" NA NA "-0.958639816567288" "3.91727963313458" "137.851574422311" "72.613494527508"
"3" "cds-hnc" "3" "30" "6" NA NA NA "0.413146349237042" "3.91727963313456" "137.851574422311" "72.6134941175228"
"4" "cds-hrp" "3" "30" "6" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "30" "13" "0.574047250885642" "-2.84924035494972" "-0.707906267025224" "2.96112301035515" "0.0777539792897031" "137.851574422311" "384.789627809298"
"2" "mmds-1" "3" "30" "13" "-0.106965776419182" NA NA "0.699896286775772" "0.600207426448456" "137.851574422311" "40.2416967288171"
"3" "cds-hnc" "3" "30" "13" NA NA NA "0.74549540420805" "0.600207426448469" "137.851574422311" "40.2416967705782"
"4" "cds-hrp" "3" "30" "13" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "30" "17" "1.73923562879377" "-1.59921460856988" "-0.296691128862504" "0.747012269847904" "4.50597546030419" "137.851574422311" "118.73570540761"
"2" "mmds-1" "3" "30" "17" "-0.503818627891733" NA NA "-0.798763205488563" "3.59752641097713" "137.851574422311" "55.0923134967174"
"3" "cds-hnc" "3" "30" "17" NA NA NA "0.544540572903165" "3.59752641097712" "137.851574422311" "55.0923135810761"
"4" "cds-hrp" "3" "30" "17" NA NA NA "0.330185664589325" "5.43729963790157" "137.851574422311" "90.8579723995986"
"1" "mmds-2" "3" "30" "9" "5.03630944516623" "-1.46335211140718" "-0.472275576643423" "2.38919518849462" "1.22160962301075" "137.851574422311" "133.922792709016"
