"","","","","","beta_1","beta_2","alpha_1","","","",""
"1","mmds-2","4","30","1","-3.4672033514753","-0.460054140391104","-13.1918108494295","3.97931095890504","-1.95862191781007","79.3531763247112","52.6583395664221"
"2","mmds-1","4","30","1","-0.460047379878614",NA,NA,"3.97931095923827","-5.95862191847654","79.3531763247112","52.6579839258913"
"3","cds-hnc","4","30","1",NA,NA,NA,"0.569719841371753","-5.95862191847568","79.3531763247112","52.6574604243499"
"4","cds-hrp","4","30","1",NA,NA,NA,"0.80197546011206","-4.16225986302202","79.3531763247112","37.4076284027545"
"5","cds-hnc-w","4","30","1",NA,NA,NA,"0.569719841371753","-5.95862191847568","79.3531763247112","52.6574604243499"
"6","cds-hrp-w","4","30","1",NA,NA,NA,"0.80197546011206","-4.16225986302202","79.3531763247112","37.4076284027545"
"7","cds-uc","4","30","1",NA,NA,NA,NA,NA,NA,NA
"8","mmds-2","4","30","2","-8.40290884222438","-0.529889427803739","-3.28711412992629","4.15705968972305","-2.31411937944611","79.3531763247112","56.6793000649393"
"9","mmds-1","4","30","2","-0.529891640591921",NA,NA,"4.15705969014434","-6.31411938028867","79.3531763247112","56.6757120782794"
"10","cds-hnc","4","30","2",NA,NA,NA,"0.529337661095853","-6.31411938028869","79.3531763247112","56.6745996079194"
"11","cds-hrp","4","30","2",NA,NA,NA,"0.599011568661696","-4.82357198940313","79.3531763247112","50.082505196061"
"12","cds-hnc-w","4","30","2",NA,NA,NA,"0.529337661095853","-6.31411938028869","79.3531763247112","56.6745996079194"
"13","cds-hrp-w","4","30","2",NA,NA,NA,"0.599011568661696","-4.82357198940313","79.3531763247112","50.082505196061"
"14","cds-uc","4","30","2",NA,NA,NA,NA,NA,NA,NA
"15","mmds-2","4","30","3","3.36919467991609","-0.391862753708506","-0.865992280580692","4.21224105300912","-2.42448210601825","79.3531763247112","47.7131281142376"
"16","mmds-1","4","30","3","-0.345559903891624",NA,NA,"4.21197319067772","-6.42394638135544","79.3531763247112","47.4191300012766"
"17","cds-hnc","4","30","3",NA,NA,NA,"0.632646545651851","-6.42394638135545","79.3531763247112","47.4198432065875"
"18","cds-hrp","4","30","3",NA,NA,NA,"0.676847510170143","-4.62443633794766","79.3531763247112","44.3231297289677"
"19","cds-hnc-w","4","30","3",NA,NA,NA,"0.632646545651851","-6.42394638135545","79.3531763247112","47.4198432065875"
"20","cds-hrp-w","4","30","3",NA,NA,NA,"0.676847510170143","-4.62443633794766","79.3531763247112","44.3231297289677"
"21","cds-uc","4","30","3",NA,NA,NA,NA,NA,NA,NA
"22","mmds-2","4","30","4","0.0720249034815363","-2.56619009344224","-0.283565360271063","2.8042085813564","0.391582837287197","79.3531763247112","180.782803093966"
"23","mmds-1","4","30","4","-0.20284769481237",NA,NA,"1.9592879468871","-1.91857589377419","79.3531763247112","42.6464673956453"
"24","cds-hnc","4","30","4",NA,NA,NA,"0.703461316774216","-1.91857589377419","79.3531763247112","42.6462682234862"
"25","cds-hrp","4","30","4",NA,NA,NA,"1.00082314822849","1.46881869568683","79.3531763247112","29.975325863617"
"26","cds-hnc-w","4","30","4",NA,NA,NA,"0.703461316774216","-1.91857589377419","79.3531763247112","42.6462682234862"
"27","cds-hrp-w","4","30","4",NA,NA,NA,"1.00082314822849","1.46881869568683","79.3531763247112","29.975325863617"
"28","cds-uc","4","30","4",NA,NA,NA,NA,NA,NA,NA
"29","mmds-2","4","30","5","3.59686921001577","-1.18143129651226","-0.257142381957508","1.41975723206491","3.16048553587017","79.3531763247112","85.1718901527195"
"30","mmds-1","4","30","5","-0.588619669777492",NA,NA,"0.704457758800444","0.591084482399111","79.3531763247112","60.6515128644301"
"31","cds-hnc","4","30","5",NA,NA,NA,"0.494621904827218","0.591084482399285","79.3531763247112","60.6523886370937"
"32","cds-hrp","4","30","5",NA,NA,NA,NA,NA,NA,NA
"33","cds-hnc-w","4","30","5",NA,NA,NA,"0.494621904827218","0.591084482399285","79.3531763247112","60.6523886370937"
"34","cds-hrp-w","4","30","5",NA,NA,NA,NA,NA,NA,NA
"35","cds-uc","4","30","5",NA,NA,NA,NA,NA,NA,NA
"36","mmds-2","4","30","6","4.7648579189264","-1.15571278026","-0.106797789150577","2.63404746269323","0.731905074613547","79.3531763247112","72.6880200964965"
"37","mmds-1","4","30","6","-0.446093165362403",NA,NA,"2.03413226092133","-2.06826452184267","79.3531763247112","51.9366297789372"
"38","cds-hnc","4","30","6",NA,NA,NA,"0.577627435276182","-2.06826452184265","79.3531763247112","51.936591248745"
"39","cds-hrp","4","30","6",NA,NA,NA,"0.944779012126184","0.448969694426542","79.3531763247112","31.7534572793762"
"40","cds-hnc-w","4","30","6",NA,NA,NA,"0.577627435276182","-2.06826452184265","79.3531763247112","51.936591248745"
"41","cds-hrp-w","4","30","6",NA,NA,NA,"0.944778691106149","0.448939203931902","79.3531763247112","31.7534680686711"
"42","cds-uc","4","30","6",NA,NA,NA,NA,NA,NA,NA
"43","mmds-2","4","30","7","-11.9774864920141","-0.105893343528127","-4.04062344673452","6.16675278681527","-6.33350557363055","79.3531763247112","40.2180261709466"
"44","mmds-1","4","30","7","-0.105893332611257",NA,NA,"6.1667527868153","-10.3335055736306","79.3531763247112","40.2177418402469"
"45","cds-hnc","4","30","7",NA,NA,NA,"1.82736038850313","-11.0728404757394","79.3531763247112","16.4171228558666"
"46","cds-hrp","4","30","7",NA,NA,NA,"0.781577895446004","-9.0316633540368","79.3531763247112","38.3838900444858"
"47","cds-hnc-w","4","30","7",NA,NA,NA,"1.82736038850313","-11.0728404757394","79.3531763247112","16.4171228558666"
"48","cds-hrp-w","4","30","7",NA,NA,NA,"0.781577895446004","-9.0316633540368","79.3531763247112","38.3838900444858"
"49","cds-uc","4","30","7",NA,NA,NA,NA,NA,NA,NA
"50","mmds-2","4","30","8","-1.30403568864424","3.77625791766452","-0.427377357850073","5.62877752629575","-5.25755505259149","79.3531763247112","34.201312649829"
"51","mmds-1","4","30","8","6.78426085881985",NA,NA,"5.60888807707547","-9.21777615415093","79.3531763247112","30.0000096029786"
"52","cds-hnc","4","30","8",NA,NA,NA,"7.63226709362183","-9.21777633349481","79.3531763247112","3.9306800498466"
"53","cds-hrp","4","30","8",NA,NA,NA,NA,NA,NA,NA
"54","cds-hnc-w","4","30","8",NA,NA,NA,"7.63226709362183","-9.21777633349481","79.3531763247112","3.9306800498466"
"55","cds-hrp-w","4","30","8",NA,NA,NA,NA,NA,NA,NA
"56","cds-uc","4","30","8",NA,NA,NA,NA,NA,NA,NA
"57","mmds-2","4","30","9","-0.323850589046967","-5.33249063110314","-2.08787374418589","4.82496571488469","-3.64993142976939","79.3531763247112","21337.3430659687"
"58","mmds-1","4","30","9","-0.408772971907236",NA,NA,"0.708695771138581","0.582608457722839","79.3531763247112","50.1267122954641"
"59","cds-hnc","4","30","9",NA,NA,NA,"0.59846872823177","0.582608457722992","79.3531763247112","50.1279324796765"
"60","cds-hrp","4","30","9",NA,NA,NA,"0.656724824717621","4.67279704997445","79.3531763247112","45.6812334038072"
"61","cds-hnc-w","4","30","9",NA,NA,NA,"0.59846872823177","0.582608457722992","79.3531763247112","50.1279324796765"
"62","cds-hrp-w","4","30","9",NA,NA,NA,"0.656724824717621","4.67279704997445","79.3531763247112","45.6812334038072"
"63","cds-uc","4","30","9",NA,NA,NA,NA,NA,NA,NA
"64","mmds-2","4","30","10","-0.395786924699865","-1.80919597167188","-0.0065924675691126","1.92922373508987","2.14155252982026","79.3531763247112","130.346891383672"
"65","mmds-1","4","30","10","-0.656416646520937",NA,NA,"1.16016138493645","-0.320322769872899","79.3531763247112","66.049468312149"
"66","cds-hnc","4","30","10",NA,NA,NA,"0.454200276486256","-0.320322769872889","79.3531763247112","66.0501579437232"
"67","cds-hrp","4","30","10",NA,NA,NA,"4.60804891308547","79.3531763247112","cds-hrp","4"
"68","cds-hnc-w","4","30","10",NA,NA,NA,"0.454200276486256","-0.320322769872889","79.3531763247112","66.0501579437232"
"69","cds-hrp-w","4","30","10",NA,NA,NA,"4.60804891308547","79.3531763247112","cds-hrp-w","4"
"70","cds-uc","4","30","10",NA,NA,NA,NA,NA,NA,NA
"71","mmds-2","4","30","11","-0.206953180588293","-0.297176791749289","-4.3510650197119","3.94669540356829","-1.89339080713658","79.3531763247112","45.6131803268499"
"72","mmds-1","4","30","11","-0.297176578768235",NA,NA,"3.94669540913484","-5.89339081826969","79.3531763247112","45.6131813612174"
"73","cds-hnc","4","30","11",NA,NA,NA,"0.657718553282002","-5.89339081826964","79.3531763247112","45.6122149060577"
"74","cds-hrp","4","30","11",NA,NA,NA,"0.689181281021821","-1.96703225976193","79.3531763247112","43.5299112528423"
"75","cds-hnc-w","4","30","11",NA,NA,NA,"0.657718553282002","-5.89339081826964","79.3531763247112","45.6122149060577"
"76","cds-hrp-w","4","30","11",NA,NA,NA,"0.689181281021821","-1.96703225976193","79.3531763247112","43.5299112528423"
"77","cds-uc","4","30","11",NA,NA,NA,NA,NA,NA,NA
"78","mmds-2","4","30","12","-2.71710308358197","0.519146687215139","0.227611307594267","5.44072225973127","-4.88144451946253","79.3531763247112","60.0269759769982"
"79","mmds-1","4","30","12","0.403741933841771",NA,NA,"5.40984403042601","-8.81968806085202","79.3531763247112","33.4690487607148"
"80","cds-hnc","4","30","12",NA,NA,NA,"0.896360756960501","-8.81968806085201","79.3531763247112","33.4686673496595"
"81","cds-hrp","4","30","12",NA,NA,NA,NA,NA,NA,NA
