"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"1" "mmds-2" "3" "960" "1" "6.06345416772808" "-1.60000395338008" "-0.42940106663439" "42.3535688198329" "-78.7071376396658" "4411.25038151395" "4504.03031569216"
"2" "mmds-1" "3" "960" "1" "-0.616578783534643" NA NA "-27.4363049292759" "56.8726098585517" "4411.25038151395" "2008.46420597658"
"3" "cds-hnc" "3" "960" "1" NA NA NA "0.477977152203192" "56.872609858552" "4411.25038151395" "2008.46420289122"
"4" "cds-hrp" "3" "960" "1" NA NA NA "0.626062135709456" "117.734767200487" "4411.25038151395" "1533.39412375119"
"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"1" "mmds-2" "3" "960" "2" "3.45006138194382" "-1.61931594600389" "-0.401882824960325" "43.5572838626575" "-81.114567725315" "4411.25038151395" "4398.67139536138"
"2" "mmds-1" "3" "960" "2" "-0.580797023299774" NA NA "-23.6150022380272" "49.2300044760544" "4411.25038151395" "1922.78081894232"
"3" "cds-hnc" "3" "960" "2" NA NA NA "0.499276876348013" "49.2300044760546" "4411.25038151395" "1922.7808165721"
"4" "cds-hrp" "3" "960" "2" NA NA NA "0.293783221487776" "-45.2609708120292" "4411.25038151395" "3267.71554596743"
"1" "mmds-2" "3" "960" "1" "0.0854498578541448" "-1.75025209713898" "-0.340315371764294" "38.7009952673332" "-71.4019905346664" "4411.25038151395" "5041.55744718043"
"2" "mmds-1" "3" "960" "1" "-0.635513998080272" NA NA "-26.4867525771359" "54.9735051542718" "4411.25038151395" "2057.08854561293"
"3" "cds-hnc" "3" "960" "1" NA NA NA "0.466678984903254" "54.9735051542719" "4411.25038151395" "2057.08855777814"
"4" "cds-hrp" "3" "960" "1" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "3" "0.106932196955914" "-1.60126096106111" "-0.195735828826954" "43.1928085412911" "-80.3856170825821" "4411.25038151395" "3832.16214538309"
"2" "mmds-1" "3" "960" "3" "-0.59031051689698" NA NA "4.00664147542912" "-6.01328295085825" "4411.25038151395" "1944.80142946726"
"3" "cds-hnc" "3" "960" "3" NA NA NA "0.493623659439843" "-6.01328295085766" "4411.25038151395" "1944.80143251115"
"4" "cds-hrp" "3" "960" "3" NA NA NA "0.619278742373188" "37.4189760384398" "4411.25038151395" "1550.19046240972"
"1" "mmds-2" "3" "960" "2" "0.381829483806091" "-1.51059943415561" "-0.311265326120143" "34.8610570419316" "-63.7221140838633" "4411.25038151395" "3959.81509287971"
"2" "mmds-1" "3" "960" "2" "-0.651574456398887" NA NA "-10.8823471128718" "23.7646942257436" "4411.25038151395" "2100.22453183903"
"3" "cds-hnc" "3" "960" "2" NA NA NA "0.457093984208438" "23.7646942257441" "4411.25038151395" "2100.22453404732"
"4" "cds-hrp" "3" "960" "2" NA NA NA "0.603393497790333" "84.9115853601824" "4411.25038151395" "1591.00156616799"
"1" "mmds-2" "3" "960" "5" "4.14106612317587" "-1.65509587611777" "-0.409487761815195" "35.8348583318806" "-65.6697166637613" "4411.25038151395" "4539.42876272409"
"2" "mmds-1" "3" "960" "5" "-0.564671079732013" NA NA "-36.2578232652656" "74.5156465305312" "4411.25038151395" "1886.65619624117"
"3" "cds-hnc" "3" "960" "5" NA NA NA "0.508836747455071" "74.515646530532" "4411.25038151395" "1886.65619140403"
"4" "cds-hrp" "3" "960" "5" NA NA NA "0.638184174100333" "120.720075491626" "4411.25038151395" "1504.26795110258"
"1" "mmds-2" "3" "960" "6" "0.246234225764136" "-1.681123767901" "-0.389519551218559" "37.3535904715275" "-68.707180943055" "4411.25038151395" "4982.6943668299"
"2" "mmds-1" "3" "960" "6" "-0.663615833901559" NA NA "-32.0885272515498" "66.1770545030997" "4411.25038151395" "2133.75367320699"
"3" "cds-hnc" "3" "960" "6" NA NA NA "0.449911352476094" "66.1770545030998" "4411.25038151395" "2133.7536710657"
"4" "cds-hrp" "3" "960" "6" NA NA NA "0.596346995169199" "129.981541807955" "4411.25038151395" "1609.80101815994"
"1" "mmds-2" "3" "960" "7" "0.0761689204131416" "-1.66769852137369" "-0.318085548256047" "35.500195830658" "-65.0003916613161" "4411.25038151395" "4689.75737460101"
"2" "mmds-1" "3" "960" "7" "-0.660890637904024" NA NA "-22.3016380524648" "46.6032761049296" "4411.25038151395" "2126.0742873366"
"3" "cds-hnc" "3" "960" "7" NA NA NA "0.45153643197213" "46.6032761049291" "4411.25038151395" "2126.07429218303"
"4" "cds-hrp" "3" "960" "7" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "11" "4.93522177171501" "-1.53581493679018" "-0.417930321138954" "50.0095097832673" "-94.0190195665346" "4411.25038151395" "4250.41890555663"
"2" "mmds-1" "3" "960" "11" "-0.610246764370373" NA NA "-22.6090482727016" "47.2180965454031" "4411.25038151395" "1992.72392397374"
"3" "cds-hnc" "3" "960" "11" NA NA NA "0.481752630503715" "47.2180965454034" "4411.25038151395" "1992.72394007737"
"4" "cds-hrp" "3" "960" "11" NA NA NA "0.632117243343476" "109.481063217188" "4411.25038151395" "1518.70560423608"
"1" "mmds-2" "3" "960" "4" "0.82094500865435" "-1.63530831775531" "-0.466596767021812" "44.0212496853293" "-82.0424993706586" "4411.25038151395" "4995.34877149957"
"2" "mmds-1" "3" "960" "4" "-0.671802174000893" NA NA "-33.0181254007565" "68.0362508015131" "4411.25038151395" "2157.14828432002"
"3" "cds-hnc" "3" "960" "4" NA NA NA "0.445031988955731" "68.0362508015134" "4411.25038151395" "2157.148303547"
"4" "cds-hrp" "3" "960" "4" NA NA NA "0.259617549720656" "-45.61054626229" "4411.25038151395" "3697.74693980797"
"1" "mmds-2" "3" "960" "9" "4.63943997178012" "-1.56563322250784" "-0.359167880705203" "47.9657398687968" "-89.9314797375937" "4411.25038151395" "4024.91247958391"
"2" "mmds-1" "3" "960" "9" "-0.549928374733348" NA NA "-15.3143079498423" "32.6286158996846" "4411.25038151395" "1854.90632954539"
"3" "cds-hnc" "3" "960" "9" NA NA NA "0.517546350277908" "32.628615899685" "4411.25038151395" "1854.90632768351"
"4" "cds-hrp" "3" "960" "9" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "8" "0.294788418747879" "-1.70448511323771" "-0.409119814957859" "35.3553314041883" "-64.7106628083767" "4411.25038151395" "5138.67354639965"
"2" "mmds-1" "3" "960" "8" "-0.65702626997305" NA NA "-39.1768652705099" "80.3537305410198" "4411.25038151395" "2115.27660361033"
"3" "cds-hnc" "3" "960" "8" NA NA NA "0.453841347649821" "80.3537305410205" "4411.25038151395" "2115.27663790723"
"4" "cds-hrp" "3" "960" "8" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "13" "3.61814990170543" "-1.67739425687098" "-0.491981092355946" "39.8111834336506" "-73.6223668673012" "4411.25038151395" "5146.14668355891"
"2" "mmds-1" "3" "960" "13" "-0.62704307733672" NA NA "-49.1805888057622" "100.361177611524" "4411.25038151395" "2035.04348825509"
"3" "cds-hnc" "3" "960" "13" NA NA NA "0.471734387747855" "100.361177611524" "4411.25038151395" "2035.04350103289"
"4" "cds-hrp" "3" "960" "13" NA NA NA "0.62012045544684" "163.339467448137" "4411.25038151395" "1548.08632995061"
"1" "mmds-2" "3" "960" "12" "0.485918406449543" "-1.62709263503675" "-0.354981584027322" "30.5193733226989" "-55.0387466453978" "4411.25038151395" "4433.27042835013"
"2" "mmds-1" "3" "960" "12" "-0.617446514760111" NA NA "-30.067527895428" "62.135055790856" "4411.25038151395" "2010.64121322126"
"3" "cds-hnc" "3" "960" "12" NA NA NA "0.477459571416878" "62.1350557908634" "4411.25038151395" "2010.64143954883"
"4" "cds-hrp" "3" "960" "12" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "14" "0.651125247215759" "-1.66064601349332" "-0.357406765490449" "39.9616306036247" "-73.9232612072493" "4411.25038151395" "4451.56073915593"
"2" "mmds-1" "3" "960" "14" "-0.579979443073365" NA NA "-22.4597164775357" "46.9194329550714" "4411.25038151395" "1920.91327088018"
"3" "cds-hnc" "3" "960" "14" NA NA NA "0.499762285409067" "46.9194329550718" "4411.25038151395" "1920.91325821879"
"4" "cds-hrp" "3" "960" "14" NA NA NA "0.63250834419881" "95.3784967240178" "4411.25038151395" "1517.7665382676"
"1" "mmds-2" "3" "960" "17" "0.213541308702643" "-1.67937109916229" "-0.340631864373149" "27.1394635722126" "-48.2789271444252" "4411.25038151395" "4697.65184402532"
"2" "mmds-1" "3" "960" "17" "-0.633905113790613" NA NA "-35.5806204313754" "73.1612408627508" "4411.25038151395" "2052.86456036026"
"3" "cds-hnc" "3" "960" "17" NA NA NA "0.46763922849178" "73.1612408627504" "4411.25038151395" "2052.86456206031"
"4" "cds-hrp" "3" "960" "17" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "19" "0.486762158231112" "-1.64632352082222" "-0.372584506347917" "28.0945125950269" "-50.1890251900539" "4411.25038151395" "4588.62318854468"
"2" "mmds-1" "3" "960" "19" "-0.622317793195913" NA NA "-36.8511639368739" "75.7023278737477" "4411.25038151395" "2022.95288123174"
"3" "cds-hnc" "3" "960" "19" NA NA NA "0.474553814757397" "75.7023278737474" "4411.25038151395" "2022.95286676975"
"4" "cds-hrp" "3" "960" "19" NA NA NA "0.616236014007" "132.967681797322" "4411.25038151395" "1557.84468641765"
"1" "mmds-2" "3" "960" "15" "0.77806816884528" "-1.58815223204858" "-0.350324583999253" "40.4394066215092" "-74.8788132430184" "4411.25038151395" "4183.54168020337"
"2" "mmds-1" "3" "960" "15" "-0.598870696625382" NA NA "-16.3908403889988" "34.7816807779975" "4411.25038151395" "1965.07888030944"
"3" "cds-hnc" "3" "960" "15" NA NA NA "0.488530007723382" "34.7816807779977" "4411.25038151395" "1965.07887913321"
"4" "cds-hrp" "3" "960" "15" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "10" "0.0332049425352331" "-1.61120609356921" "-0.269434714568221" "35.0108487172658" "-64.0216974345316" "4411.25038151395" "4321.38544017143"
"2" "mmds-1" "3" "960" "10" "-0.663925402760629" NA NA "-13.5528207957352" "29.1056415914704" "4411.25038151395" "2134.62942064735"
"3" "cds-hnc" "3" "960" "10" NA NA NA "0.449726768090357" "29.1056415914705" "4411.25038151395" "2134.6294419529"
"4" "cds-hrp" "3" "960" "10" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "18" "0.103965842323119" "-1.57811503843309" "-0.299736109785795" "35.1530355130383" "-64.3060710260766" "4411.25038151395" "4311.20499516713"
"2" "mmds-1" "3" "960" "18" "-0.677729642957455" NA NA "-15.0060952168887" "32.0121904337774" "4411.25038151395" "2174.39751454364"
"3" "cds-hnc" "3" "960" "18" NA NA NA "0.44150160241594" "32.0121904337775" "4411.25038151395" "2174.39754407863"
"4" "cds-hrp" "3" "960" "18" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "25" "0.114094006160502" "-1.62935300588789" "-0.202305831350937" "27.7824948345066" "-49.5649896690133" "4411.25038151395" "3910.62439623256"
"2" "mmds-1" "3" "960" "25" "-0.580408871913716" NA NA "-14.2191639102828" "30.4383278205656" "4411.25038151395" "1921.89370196827"
"3" "cds-hnc" "3" "960" "25" NA NA NA "0.499507335315384" "30.4383278205657" "4411.25038151395" "1921.89369830548"
"4" "cds-hrp" "3" "960" "25" NA NA NA "0.630187604532098" "76.4448120868377" "4411.25038151395" "1523.35589131872"
"1" "mmds-2" "3" "960" "20" "4.76935167799456" "-1.68178228056499" "-0.441970942307918" "45.4071334595469" "-84.8142669190939" "4411.25038151395" "4820.9925725056"
"2" "mmds-1" "3" "960" "20" "-0.542367062430182" NA NA "-45.7107783417478" "93.4215566834956" "4411.25038151395" "1839.07926671181"
"3" "cds-hnc" "3" "960" "20" NA NA NA "0.522000339040992" "93.4215566834956" "4411.25038151395" "1839.07926528111"
"4" "cds-hrp" "3" "960" "20" NA NA NA "0.656477301791559" "141.415136535445" "4411.25038151395" "1462.35063631311"
"1" "mmds-2" "3" "960" "23" "0.204050720790315" "-1.70081041105594" "-0.428081710850375" "39.9646684323016" "-73.9293368646032" "4411.25038151395" "5353.70817518231"
"2" "mmds-1" "3" "960" "23" "-0.694026596942061" NA NA "-37.868769731468" "77.7375394629361" "4411.25038151395" "2223.1998582156"
"3" "cds-hnc" "3" "960" "23" NA NA NA "0.431810028937205" "77.7375394629365" "4411.25038151395" "2223.19986954172"
"4" "cds-hrp" "3" "960" "23" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "960" "16" "4.25235223715322" "-1.51055168220606" "-0.373142666085309" "45.4875932357313" "-84.9751864714627" "4411.25038151395" "3954.02506731537"
"2" "mmds-1" "3" "960" "16" "-0.604338973089191" NA NA "-10.1232476100418" "22.2464952200836" "4411.25038151395" "1978.26681261049"
"3" "cds-hnc" "3" "960" "16" NA NA NA "0.48527323602218" "22.2464952200861" "4411.25038151395" "1978.26694063985"
"4" "cds-hrp" "3" "960" "16" NA NA NA "0.624866466798384" "76.1845673796483" "4411.25038151395" "1536.32824132608"
"1" "mmds-2" "3" "960" "21" "0.587158642140121" "-1.54676702584434" "-0.356805049671527" "38.3040601550821" "-70.6081203101641" "4411.25038151395" "4177.13896931167"
"2" "mmds-1" "3" "960" "21" "-0.643519757098333" NA NA "-15.158262438388" "32.3165248767759" "4411.25038151395" "2078.36839808001"
"3" "cds-hnc" "3" "960" "21" NA NA NA "0.461900786964599" "32.3165248767756" "4411.25038151395" "2078.36840094749"
"4" "cds-hrp" "3" "960" "21" NA NA NA "0.277245462304383" "-49.8837406871687" "4411.25038151395" "3462.63557217767"
"1" "mmds-2" "3" "960" "24" "-0.106705266780645" "-1.67972235864502" "-0.257548407114836" "31.3000403383544" "-56.6000806767089" "4411.25038151395" "4646.84045861753"
"2" "mmds-1" "3" "960" "24" "-0.680213180022848" NA NA "-19.7035350068758" "41.4070700137516" "4411.25038151395" "2181.70323119317"
"3" "cds-hnc" "3" "960" "24" NA NA NA "0.440023179875141" "41.4070700137513" "4411.25038151395" "2181.70324634353"
"4" "cds-hrp" "3" "960" "24" NA NA NA "0.590230312739877" "107.750162896169" "4411.25038151395" "1626.48372894241"
"1" "mmds-2" "3" "960" "26" "2.96700993456157" "-1.52249898331593" "-0.432939563337603" "39.3032382790689" "-72.6064765581379" "4411.25038151395" "4289.56355336991"
"2" "mmds-1" "3" "960" "26" "-0.659939630195187" NA NA "-21.0785754672024" "44.1571509344048" "4411.25038151395" "2123.40705814591"
"3" "cds-hnc" "3" "960" "26" NA NA NA "0.452103610796036" "44.1571509344052" "4411.25038151395" "2123.40706217695"
"4" "cds-hrp" "3" "960" "26" NA NA NA "0.602319935686887" "110.384608197525" "4411.25038151395" "1593.83733315288"
"1" "mmds-2" "3" "960" "29" "0.501659776565628" "-1.74516318125464" "-0.335012465540558" "29.418725631472" "-52.8374512629439" "4411.25038151395" "4586.32471851084"
"2" "mmds-1" "3" "960" "29" "-0.534395720418782" NA NA "-34.966814243835" "71.93362848767" "4411.25038151395" "1822.7204891911"
"3" "cds-hnc" "3" "960" "29" NA NA NA "0.526685249301163" "71.9336284876703" "4411.25038151395" "1822.72049819847"
"4" "cds-hrp" "3" "960" "29" NA NA NA "0.652968561347744" "114.035231900934" "4411.25038151395" "1470.20860854087"
"1" "mmds-2" "3" "960" "22" "1.20818116918621" "-1.54691597580701" "-0.373721107272373" "51.4422244030907" "-96.8844488061815" "4411.25038151395" "4113.91973878971"
"2" "mmds-1" "3" "960" "22" "-0.61464346964021" NA NA "-4.22858007985282" "10.4571601597056" "4411.25038151395" "2003.62621077259"
"3" "cds-hnc" "3" "960" "22" NA NA NA "0.479131280038513" "10.4571601597061" "4411.25038151395" "2003.62622937671"
