"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"3" "cds-hnc" "3" "120" "8" NA NA NA "0.629457615661781" "14.4158403946802" "551.406297689244" "190.640317972542"
"4" "cds-hrp" "3" "120" "8" NA NA NA "0.151524908112631" "-2.93146435254855" "551.406297689244" "791.949003597495"
"1" "mmds-2" "3" "120" "18" "4.55205851742813" "-1.55291974378483" "-0.520118369336696" "3.90919687610679" "-1.81839375221359" "551.406297689244" "608.815027467098"
"2" "mmds-1" "3" "120" "18" "-0.705830306298431" NA NA "-6.40582323259449" "14.811646465189" "551.406297689244" "282.48069502543"
"3" "cds-hnc" "3" "120" "18" NA NA NA "0.424807846650452" "14.8116464651904" "551.406297689244" "282.480657893169"
"4" "cds-hrp" "3" "120" "18" NA NA NA "0.594443658335288" "29.4224438378835" "551.406297689244" "201.869425836007"
"1" "mmds-2" "3" "120" "11" "0.226560799676349" "-1.59845041906346" "-0.309696899236504" "2.56701450327143" "0.865970993457141" "551.406297689244" "536.715241412975"
"2" "mmds-1" "3" "120" "11" "-0.644494186085014" NA NA "-4.05689924537684" "10.1137984907537" "551.406297689244" "260.123561606307"
"3" "cds-hnc" "3" "120" "11" NA NA NA "0.461319224606669" "10.1137984907537" "551.406297689244" "260.123562165255"
"4" "cds-hrp" "3" "120" "11" NA NA NA "0.59841062332844" "20.3568412670434" "551.406297689244" "200.531199350279"
"1" "mmds-2" "3" "120" "14" "4.59245000318263" "-1.65495885873024" "-0.51508779855438" "4.13017293616363" "-2.26034587232727" "551.406297689244" "653.161272957553"
"2" "mmds-1" "3" "120" "14" "-0.650750691013414" NA NA "-7.80623513705162" "17.6124702741032" "551.406297689244" "262.246056919128"
"3" "cds-hnc" "3" "120" "14" NA NA NA "0.457585525308107" "17.6124702741033" "551.406297689244" "262.246057541265"
"4" "cds-hrp" "3" "120" "14" NA NA NA "0.61678233045243" "30.3102347384377" "551.406297689244" "194.558102713442"
"1" "mmds-2" "3" "120" "22" "0.350662388510489" "-1.77340949038469" "-0.380293831221311" "2.23401610934773" "1.53196778130455" "551.406297689244" "634.89230119969"
"2" "mmds-1" "3" "120" "22" "-0.585220996415752" NA NA "-6.83714413039754" "15.6742882607951" "551.406297689244" "241.61927844615"
"3" "cds-hnc" "3" "120" "22" NA NA NA "0.496649112179408" "15.6742882607951" "551.406297689244" "241.619278193035"
"4" "cds-hrp" "3" "120" "22" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "13" "4.70586658570619" "-1.59636937524643" "-0.510986076096555" "7.9708173485664" "-9.94163469713279" "551.406297689244" "622.749229181971"
"2" "mmds-1" "3" "120" "13" "-0.643423187690301" NA NA "-4.91795987380217" "11.8359197476043" "551.406297689244" "259.76363678383"
"3" "cds-hnc" "3" "120" "13" NA NA NA "0.461958421672272" "11.8359197476044" "551.406297689244" "259.763637527387"
"4" "cds-hrp" "3" "120" "13" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "17" "-0.41646478539835" "-1.83304818443739" "-0.0428429108521862" "4.42149147488885" "-2.84298294977771" "551.406297689244" "559.654453792309"
