"","","","","","","","","1","","",""
"1","cds-hnc-w","1","30","1",NA,NA,NA,"0.620724253763916","-3.87765771583411","125.160628505216","48.3306392783713"
"2","cds-hrp-w","1","30","1",NA,NA,NA,NA,NA,NA,NA
"3","cds-hnc-w","1","30","2",NA,NA,NA,"0.404960561331529","-4.24479615193317","125.160628505216","74.0812880675555"
"4","cds-hrp-w","1","30","2",NA,NA,NA,"0.379401511709363","-3.22037126285482","125.160628505216","79.0719042336902"
"5","cds-hnc-w","1","30","3",NA,NA,NA,"0.489456491522828","-1.59192006738321","125.160628505216","61.2924754693968"
"6","cds-hrp-w","1","30","3",NA,NA,NA,"0.605605624219967","-0.0282935101283934","125.160628505216","49.5371885600314"
"7","cds-hnc-w","1","30","4",NA,NA,NA,"0.573543957539656","5.83252338003765","125.160628505216","52.3063657207577"
"8","cds-hrp-w","1","30","4",NA,NA,NA,"0.704723168091182","9.78776082056208","125.160628505216","42.569907388256"
"9","cds-hnc-w","1","30","5",NA,NA,NA,"0.48378146517728","6.29757029656726","125.160628505216","62.0114703836506"
"10","cds-hrp-w","1","30","5",NA,NA,NA,NA,NA,NA,NA
"11","cds-hnc-w","1","30","6",NA,NA,NA,"0.820517343648212","1.14422503222336","125.160628505216","36.5622984477245"
"12","cds-hrp-w","1","30","6",NA,NA,NA,"0.898846900235681","0.540217081978975","125.160628505216","33.3760955198643"
"13","cds-hnc-w","1","30","7",NA,NA,NA,"0.533121147548544","0.744916127845893","125.160628505216","56.2723878764692"
"14","cds-hrp-w","1","30","7",NA,NA,NA,"0.834559760761029","3.753000833876","125.160628505216","35.9470961943375"
"15","cds-hnc-w","1","30","8",NA,NA,NA,"0.532192455122256","1.14989604279069","125.160628505216","56.370584947711"
"16","cds-hrp-w","1","30","8",NA,NA,NA,"0.333246040276536","3.49750518113722","125.160628505216","90.0235752992151"
"17","cds-hnc-w","1","30","9",NA,NA,NA,"0.391939851771342","-1.89273302854777","125.160628505216","76.5423568550565"
"18","cds-hrp-w","1","30","9",NA,NA,NA,"0.649970391927619","0.925421777552657","125.160628505216","46.1559485979491"
"19","cds-hnc-w","1","30","10",NA,NA,NA,"0.737264624809073","-5.30795143021464","125.160628505216","40.6909527332456"
"20","cds-hrp-w","1","30","10",NA,NA,NA,"0.660815893827035","-3.40197870378748","125.160628505216","45.3984237973737"
"21","cds-hnc-w","1","30","11",NA,NA,NA,"0.835348719816802","-8.2639246148964","125.160628505216","35.9131453587182"
"22","cds-hrp-w","1","30","11",NA,NA,NA,"0.931158498538123","-6.58525967038117","125.160628505216","32.2179307251114"
"23","cds-hnc-w","1","30","12",NA,NA,NA,"0.401262987623375","-1.33648583389499","125.160628505216","74.763935187957"
"24","cds-hrp-w","1","30","12",NA,NA,NA,NA,NA,NA,NA
"25","cds-hnc-w","1","30","13",NA,NA,NA,"0.498646949912682","-2.73808027582705","125.160628505216","60.1628065813965"
"26","cds-hrp-w","1","30","13",NA,NA,NA,"0.420957888239851","-2.08960129150714","125.160628505216","71.2660359577506"
"27","cds-hnc-w","1","30","14",NA,NA,NA,"0.6305787253521","1.56179330644679","125.160628505216","47.5753443525211"
"28","cds-hrp-w","1","30","14",NA,NA,NA,"0.696466567210304","5.81114463165631","125.160628505216","43.074573012406"
"29","cds-hnc-w","1","30","15",NA,NA,NA,"0.439150882448953","-3.54570871679894","125.160628505216","68.3136507268369"
"30","cds-hrp-w","1","30","15",NA,NA,NA,"0.598577162831267","-2.23915206956123","125.160628505216","50.1188516082039"
"31","cds-hnc-w","1","30","16",NA,NA,NA,"0.384942646797334","0.62845799133579","125.160628505216","77.933687653461"
"32","cds-hrp-w","1","30","16",NA,NA,NA,NA,NA,NA,NA
"33","cds-hnc-w","1","30","17",NA,NA,NA,"0.890516447405363","-5.15012575129581","125.160628505216","33.6883165801249"
"34","cds-hrp-w","1","30","17",NA,NA,NA,"1","-3.01040902452042","125.160628505216","30"
"35","cds-hnc-w","1","30","18",NA,NA,NA,"0.584565862762213","-0.832708989805118","125.160628505216","51.3201367220502"
"36","cds-hrp-w","1","30","18",NA,NA,NA,"0.765910857007182","-3.11492230363365","125.160628505216","39.1690491465623"
"37","cds-hnc-w","1","30","19",NA,NA,NA,"0.606611594702996","-1.46906704208471","125.160628505216","49.4550388781941"
"38","cds-hrp-w","1","30","19",NA,NA,NA,"0.704802679589172","3.16304155980525","125.160628505216","42.5651049134588"
"39","cds-hnc-w","1","30","20",NA,NA,NA,"0.912943417352967","-0.185591988259668","125.160628505216","32.8607440831147"
"40","cds-hrp-w","1","30","20",NA,NA,NA,"1","1.89991072884584","125.160628505216","30"
"41","cds-hnc-w","1","30","21",NA,NA,NA,"0.700968689016486","-8.46338862943572","125.160628505216","42.7979173250839"
"42","cds-hrp-w","1","30","21",NA,NA,NA,"1","-5.04630327271211","125.160628505216","30"
"43","cds-hnc-w","1","30","22",NA,NA,NA,"0.464406540354228","3.25355557137533","125.160628505216","64.5985734333487"
"44","cds-hrp-w","1","30","22",NA,NA,NA,"0.620874549065567","9.0572834894303","125.160628505216","48.3189398649869"
"45","cds-hnc-w","1","30","23",NA,NA,NA,"0.221557985002349","-6.73569007027929","125.160628505216","135.40473388798"
"46","cds-hrp-w","1","30","23",NA,NA,NA,"0.166958156050578","-7.55160028908909","125.160628505216","179.685741084202"
"47","cds-hnc-w","1","30","24",NA,NA,NA,"0.629342589277874","2.87009947496874","125.160628505216","47.6687904348296"
"48","cds-hrp-w","1","30","24",NA,NA,NA,NA,NA,NA,NA
"49","cds-hnc-w","1","30","25",NA,NA,NA,"0.621487112383805","-2.4751733348978","125.160628505216","48.2713147259492"
"50","cds-hrp-w","1","30","25",NA,NA,NA,"0.696260403006697","1.90380512630666","125.160628505216","43.0873274861667"
"51","cds-hnc-w","1","30","26",NA,NA,NA,"0.384558770204524","-5.46036063832328","125.160628505216","78.0114830928048"
"52","cds-hrp-w","1","30","26",NA,NA,NA,"0.54132319580686","-2.21804820835369","125.160628505216","55.4197570552727"
"53","cds-hnc-w","1","30","27",NA,NA,NA,"0.585470801507823","-4.28640912885365","125.160628505216","51.2408132442095"
"54","cds-hrp-w","1","30","27",NA,NA,NA,"0.649346353828703","-0.136613479249114","125.160628505216","46.2003056198172"
"55","cds-hnc-w","1","30","28",NA,NA,NA,"0.344891791112404","7.03863446474393","125.160628505216","86.9838041179202"
"56","cds-hrp-w","1","30","28",NA,NA,NA,NA,NA,NA,NA
"57","cds-hnc-w","1","30","29",NA,NA,NA,"0.548206177000735","3.51142560045091","125.160628505216","54.7239364651664"
"58","cds-hrp-w","1","30","29",NA,NA,NA,"0.670449129148186","8.54550761335164","125.160628505216","44.7461241960526"
"59","cds-hnc-w","1","30","30",NA,NA,NA,"0.449685612731514","7.03411273497111","125.160628505216","66.7132751207488"
"60","cds-hrp-w","1","30","30",NA,NA,NA,NA,NA,NA,NA
"61","cds-hnc-w","1","30","31",NA,NA,NA,"0.608651113295216","-1.24975476225377","125.160628505216","49.2893208353486"
"62","cds-hrp-w","1","30","31",NA,NA,NA,NA,NA,NA,NA
"63","cds-hnc-w","1","30","32",NA,NA,NA,"0.660180959601453","-3.05365574206094","125.160628505216","45.4420860882005"
"64","cds-hrp-w","1","30","32",NA,NA,NA,"0.778415714232547","-3.58274342854627","125.160628505216","38.5398180579865"
"65","cds-hnc-w","1","30","33",NA,NA,NA,"0.684781158061745","-4.60099994501043","125.160628505216","43.8096166152033"
"66","cds-hrp-w","1","30","33",NA,NA,NA,"-8.7145864073308","125.160628505216","cds-hrp-w","1"
"67","cds-hnc-w","1","30","34",NA,NA,NA,"0.607608141978621","-1.94279196718035","125.160628505216","49.3739269232103"
"68","cds-hrp-w","1","30","34",NA,NA,NA,"0.650760900805428","2.01601447647734","125.160628505216","46.0998808669511"
"69","cds-hnc-w","1","30","35",NA,NA,NA,"0.628734910128107","-3.5613017537708","125.160628505216","47.7148628408233"
"70","cds-hrp-w","1","30","35",NA,NA,NA,"0.70525545961387","0.805991891123908","125.160628505216","42.5377777527949"
"71","cds-hnc-w","1","30","36",NA,NA,NA,"0.713506116686729","0.450269742081536","125.160628505216","42.0458904253119"
"72","cds-hrp-w","1","30","36",NA,NA,NA,"1","3.72231898439782","125.160628505216","30"
"73","cds-hnc-w","1","30","37",NA,NA,NA,"0.780984551028352","-0.550450875849443","125.160628505216","38.4130517825197"
"74","cds-hrp-w","1","30","37",NA,NA,NA,NA,NA,NA,NA
"75","cds-hnc-w","1","30","38",NA,NA,NA,"0.516612402956624","8.05408876336466","125.160628505216","58.0706150845528"
"76","cds-hrp-w","1","30","38",NA,NA,NA,"0.682321939819299","13.9736227122722","125.160628505216","43.9675148185107"
"77","cds-hnc-w","1","30","39",NA,NA,NA,"0.366862317161984","3.09469173406244","125.160628505216","81.7745475525464"
"78","cds-hrp-w","1","30","39",NA,NA,NA,NA,NA,NA,NA
"79","cds-hnc-w","1","30","40",NA,NA,NA,"0.554124759817446","-4.71221591258644","125.160628505216","54.1394324445696"
"80","cds-hrp-w","1","30","40",NA,NA,NA,"0.669069531186108","-3.57295768953875","125.160628505216","44.8383891384455"
"81","cds-hnc-w","1","30","41",NA,NA,NA,"0.478085491666821","-3.32512774232692","125.160628505216","62.750283208567"
"82","cds-hrp-w","1","30","41",NA,NA,NA,NA,NA,NA,NA
"83","cds-hnc-w","1","30","42",NA,NA,NA,"0.775570151478686","2.68653326243145","125.160628505216","38.6812204451172"
"84","cds-hrp-w","1","30","42",NA,NA,NA,"0.870846805752179","6.38659661027077","125.160628505216","34.4492278111855"
"85","cds-hnc-w","1","30","43",NA,NA,NA,"0.91248960360293","-3.24641145231575","125.160628505216","32.8770869076712"
"86","cds-hrp-w","1","30","43",NA,NA,NA,"1","-1.15995806843333","125.160628505216","30"
"87","cds-hnc-w","1","30","44",NA,NA,NA,"0.605319096155047","-4.30628144227682","125.160628505216","49.5606370103939"
"88","cds-hrp-w","1","30","44",NA,NA,NA,NA,NA,NA,NA
"89","cds-hnc-w","1","30","45",NA,NA,NA,"0.59074135046037","2.82636961002541","125.160628505216","50.7836466443744"
"90","cds-hrp-w","1","30","45",NA,NA,NA,"0.695775247936096","7.58157361769871","125.160628505216","43.1173717216732"
"91","cds-hnc-w","1","30","46",NA,NA,NA,"0.569023208093406","2.19619176026164","125.160628505216","52.7219269325048"
"92","cds-hrp-w","1","30","46",NA,NA,NA,NA,NA,NA,NA
"93","cds-hnc-w","1","30","47",NA,NA,NA,"0.408846373517014","-4.75244075560733","125.160628505216","73.3771948175335"
"94","cds-hrp-w","1","30","47",NA,NA,NA,"0.523796873810784","-3.4070961249051","125.160628505216","57.2741104423567"
"95","cds-hnc-w","1","30","48",NA,NA,NA,"0.259312924466902","-0.820334432751981","125.160628505216","115.69033846529"
"96","cds-hrp-w","1","30","48",NA,NA,NA,NA,NA,NA,NA
"97","cds-hnc-w","1","30","49",NA,NA,NA,"0.374714141938457","-4.78769679464461","125.160628505216","80.0610295752521"
"98","cds-hrp-w","1","30","49",NA,NA,NA,"0.455453528967156","-2.53279605984253","125.160628505216","65.8684104787415"
"99","cds-hnc-w","1","30","50",NA,NA,NA,"0.635263176404032","-2.29470394857374","125.160628505216","47.2245222363082"
"100","cds-hrp-w","1","30","50",NA,NA,NA,"1","2.08830726756475","125.160628505216","30"
"101","cds-hnc-w","1","30","51",NA,NA,NA,"0.411066959647549","-0.877332145888754","125.160628505216","72.9808107801274"
"102","cds-hrp-w","1","30","51",NA,NA,NA,"0.674406664853568","-2.10266149032848","125.160628505216","44.483546150176"
"103","cds-hnc-w","1","30","52",NA,NA,NA,"0.381701668774027","0.755407627073998","125.160628505216","78.5954122138262"
"104","cds-hrp-w","1","30","52",NA,NA,NA,NA,NA,NA,NA
"105","cds-hnc-w","1","30","53",NA,NA,NA,"0.593169682389914","5.94759011120653","125.160628505216","50.5757473630957"
"106","cds-hrp-w","1","30","53",NA,NA,NA,NA,NA,NA,NA
"107","cds-hnc-w","1","30","54",NA,NA,NA,"0.687186911854666","1.47202261712553","125.160628505216","43.6562447311929"
"108","cds-hrp-w","1","30","54",NA,NA,NA,"0.899348152147253","3.18912766417187","125.160628505216","33.3574933448999"
"109","cds-hnc-w","1","30","55",NA,NA,NA,"0.702046931219525","-9.30381920262355","125.160628505216","42.7321859350443"
"110","cds-hrp-w","1","30","55",NA,NA,NA,"0.806313074941176","-9.05155703635285","125.160628505216","37.2063915771038"
"111","cds-hnc-w","1","30","56",NA,NA,NA,"0.34000713217183","0.617015594604995","125.160628505216","88.2334432468282"
"112","cds-hrp-w","1","30","56",NA,NA,NA,"0.166577507908423","2.73413240198035","125.160628505216","180.096342997835"
"113","cds-hnc-w","1","30","57",NA,NA,NA,"0.45033593146214","-0.261815470790845","125.160628505216","66.616936167178"
"114","cds-hrp-w","1","30","57",NA,NA,NA,"0.627891535416588","6.30029550087036","125.160628505216","47.77895274555"
"115","cds-hnc-w","1","30","58",NA,NA,NA,"0.517607092362245","-2.28268941152262","125.160628505216","57.9590203509125"
"116","cds-hrp-w","1","30","58",NA,NA,NA,"0.621886202446101","1.07312450722405","125.160628505216","48.2403370295068"
"117","cds-hnc-w","1","30","59",NA,NA,NA,"0.783586924407534","-0.492449622477271","125.160628505216","38.2854780568"
"118","cds-hrp-w","1","30","59",NA,NA,NA,NA,NA,NA,NA
"119","cds-hnc-w","1","30","60",NA,NA,NA,"0.553217235385234","5.86552193238557","125.160628505216","54.2282454000361"
"120","cds-hrp-w","1","30","60",NA,NA,NA,"0.847580815631872","7.16132078361338","125.160628505216","35.3948549173272"
"121","cds-hnc-w","1","30","61",NA,NA,NA,"0.611436485314618","-3.49763420877034","125.160628505216","49.0647855019043"
