"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"888","cds-hrp","2","60","96",NA,NA,NA,"0.196075825757235","-29.8121622176823"
"889","2","60","97","29.1713806727623","-52.3427613455245","0.267799324034065","224.048362393804","233.843094975339","2"
"890","cds-hnc","2","60","97",NA,NA,NA,"0.44539654933498","-37.7311904364049"
"891","cds-hrp","2","60","97",NA,NA,NA,"0.264060401661475","-52.3666271423871"
"892","2","60","98","18.9075420748918","-31.8150841497836","0.30917220482183","194.06660451439","233.843094975339","2"
"893","cds-hnc","2","60","98",NA,NA,NA,"0.482551898544664","-30.0040308934249"
"894","cds-hrp","2","60","98",NA,NA,NA,"0.31785407432357","-33.3086874103258"
"895","2","60","99","11.5034840479243","-17.0069680958486","0.396790450107369","151.213316711036","233.843094975339","2"
"896","cds-hnc","2","60","99",NA,NA,NA,"0.626773968995056","-10.4356895765829"
"897","cds-hrp","2","60","99",NA,NA,NA,"0.37795060376029","-16.6031373393611"
"898","2","60","100","16.1944818927275","-30.388963785455","0.480540528817391","124.859395621967","233.843094975339","1"
"899","cds-hnc","2","60","100",NA,NA,NA,"0.480540525253903","-30.388963785455"
"900","cds-hrp","2","60","100",NA,NA,NA,"0.484480241905947","-27.3642636100749"
"901","2","60","101","22.3332441050879","-38.6664882101757","0.157123387393598","381.865494343618","233.843094975339","2"
"902","cds-hnc","2","60","101",NA,NA,NA,"0.513543592348634","-22.2721337596743"
"903","cds-hrp","2","60","101",NA,NA,NA,"0.176873330341421","-38.481096829783"
"904","2","60","102","19.7243793688167","-37.4487587376333","0.446648987970994","134.333675024237","233.843094975339","1"
"905","cds-hnc","2","60","102",NA,NA,NA,"0.446648994147161","-37.4487587376333"
"906","cds-hrp","2","60","102",NA,NA,NA,"0.544791202737274","-35.2020309312094"
"907","2","60","103","10.8629871982291","-15.7259743964583","0.256787338235248","233.656380459977","233.843094975339","2"
"908","cds-hnc","2","60","103",NA,NA,NA,"0.685354616220822","-3.58631859292961"
"909","cds-hrp","2","60","103",NA,NA,NA,"0.564419577009444","-9.43284556744963"
"910","2","60","104","18.8092397910336","-31.6184795820671","0.298895007148855","200.739385285613","233.843094975339","2"
"911","cds-hnc","2","60","104",NA,NA,NA,"0.545202533561296","-17.6828677376498"
"912","cds-hrp","2","60","104",NA,NA,NA,"0.223897225665471","-32.5277778285601"
"913","2","60","105","17.4964559480628","-28.9929118961257","0.31042464715309","193.283621485153","233.843094975339","2"
"914","cds-hnc","2","60","105",NA,NA,NA,"0.590280395041813","-12.0740994332461"
"915","cds-hrp","2","60","105",NA,NA,NA,"0.221082060701544","-30.9473090440265"
"916","2","60","106","19.4357164624714","-32.8714329249429","0.311697970435573","192.494034902296","233.843094975339","2"
"917","cds-hnc","2","60","106",NA,NA,NA,"0.482343321218794","-30.0437619307209"
"918","cds-hrp","2","60","106",NA,NA,NA,"0.324729548960227","-34.2589893051476"
"919","2","60","107","21.0164001174215","-36.032800234843","0.262106418463405","228.914653642399","233.843094975339","2"
"920","cds-hnc","2","60","107",NA,NA,NA,"0.552739653259762","-16.6786531445941"
"921","cds-hrp","2","60","107",NA,NA,NA,"0.138667744682429","-35.1985042820827"
"922","2","60","108","34.2293655637199","-62.4587311274399","0.293003170136207","204.775941407419","233.843094975339","2"
"923","cds-hnc","2","60","108",NA,NA,NA,"0.371146598288048","-57.4835841228722"
"924","cds-hrp","2","60","108",NA,NA,NA,"0.288208549555053","-63.055585221732"
"925","2","60","109","22.5922165508995","-39.184433101799","0.0839835182405381","714.425892806174","233.843094975339","2"
"926","cds-hnc","2","60","109",NA,NA,NA,"0.477665753139666","-27.1573593198613"
"927","cds-hrp","2","60","109",NA,NA,NA,"0.602921232196576","-21.1258321259724"
"928","2","60","110","14.9156346111757","-23.8312692223514","0.248718446987504","241.236630120219","233.843094975339","2"
"929","cds-hnc","2","60","110",NA,NA,NA,"0.535889479442796","-21.0532604135989"
"930","cds-hrp","2","60","110",NA,NA,NA,"0.287245359986634","-26.5171578850431"
"931","2","60","111","21.5702800602997","-37.1405601205993","0.208375833501172","287.941259751038","233.843094975339","2"
"932","cds-hnc","2","60","111",NA,NA,NA,"0.478606364534793","-30.7626108539631"
"933","cds-hrp","2","60","111",NA,NA,NA,NA,NA
"934","2","60","112","21.958023179291","-37.9160463585819","0.0389124870482935","1541.92148976587","233.843094975339","2"
"935","cds-hnc","2","60","112",NA,NA,NA,"0.501411515872163","-24.5360116270835"
"936","cds-hrp","2","60","112",NA,NA,NA,"0.266019583306357","-32.2759431204692"
"937","2","60","113","22.3385378995125","-38.6770757990251","0.235729370816944","254.529165339321","233.843094975339","2"
"938","cds-hnc","2","60","113",NA,NA,NA,"0.455006625456979","-35.6043591364831"
"939","cds-hrp","2","60","113",NA,NA,NA,"0.243761937422654","-39.0827352364989"
"940","2","60","114","20.6140788350232","-35.2281576700465","0.245135755231862","244.762335642342","233.843094975339","2"
"941","cds-hnc","2","60","114",NA,NA,NA,"0.468623311772161","-32.7461694953294"
"942","cds-hrp","2","60","114",NA,NA,NA,"0.314926129667525","-35.0556561273562"
"943","2","60","115","14.7518113215741","-23.5036226431482","0.330626763714219","181.473512083437","233.843094975339","2"
"944","cds-hnc","2","60","115",NA,NA,NA,"0.523978321959135","-22.8529468492756"
"945","cds-hrp","2","60","115",NA,NA,NA,"0.349276066027893","-24.1281633208113"
"946","2","60","116","12.0915458260804","-18.1830916521608","0.227149248243947","264.143511210581","233.843094975339","2"
"947","cds-hnc","2","60","116",NA,NA,NA,"0.700093289140815","-0.838878823466347"
"948","cds-hrp","2","60","116",NA,NA,NA,"0.365629890467983","-11.5672351494944"
"949","2","60","117","13.3463590913192","-20.6927181826385","0.38246593787667","156.876715173908","233.843094975339","2"
