"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","2","30","1","9.66199543539885","-13.3239908707977","0.340601346362197","88.0795109015743","116.92154748767","2"
"2","cds-hnc","2","30","1",NA,NA,NA,"0.505210031200321","-11.9572110092061"
"3","cds-hrp","2","30","1",NA,NA,NA,"0.319341480444043","-14.3492461794356"
"4","2","30","2","4.09297941043257","-6.18595882086514","0.587814936655011","51.0364710545064","116.92154748767","1"
"5","cds-hnc","2","30","2",NA,NA,NA,"0.587814929718318","-6.18595882086512"
"6","cds-hrp","2","30","2",NA,NA,NA,"0.51007338180507","-6.24701090450782"
"7","2","30","3","5.89456371430101","-5.78912742860202","0.200007242511714","149.99456831291","116.92154748767","2"
"8","cds-hnc","2","30","3",NA,NA,NA,NA,NA
"9","cds-hrp","2","30","3",NA,NA,NA,"0.444226330145546","-1.6176069434155"
"10","2","30","4","13.34572477726","-24.69144955452","0.391762371710434","76.5770328299271","116.92154748767","1"
"11","cds-hnc","2","30","4",NA,NA,NA,"0.391762371619769","-24.69144955452"
"12","cds-hrp","2","30","4",NA,NA,NA,"0.265482101728431","-22.3511153725385"
"13","2","30","5","16.1043511197183","-26.2087022394366","0.15582135150329","192.528172234256","116.92154748767","2"
"14","cds-hnc","2","30","5",NA,NA,NA,"0.442508389407823","-16.1539667158597"
"15","cds-hrp","2","30","5",NA,NA,NA,"0.124405949836092","-26.1848239913609"
"16","2","30","6","15.3980183951348","-24.7960367902697","0.113483005477233","264.356763145637","116.92154748767","2"
"17","cds-hnc","2","30","6",NA,NA,NA,"0.622054135537894","-2.42765748549259"
"18","cds-hrp","2","30","6",NA,NA,NA,"0.31875782196264","-13.7579559792616"
"19","2","30","7","9.90202913704099","-17.804058274082","0.445941456114849","67.2734045885021","116.92154748767","1"
"20","cds-hnc","2","30","7",NA,NA,NA,"0.445941459262084","-17.804058274082"
"21","cds-hrp","2","30","7",NA,NA,NA,"0.403821301248894","-16.3072351136295"
"22","2","30","8","13.7726474728559","-21.5452949457118","0.157787030078352","190.129695609981","116.92154748767","2"
"23","cds-hnc","2","30","8",NA,NA,NA,"0.460048721102681","-14.221477867299"
"24","cds-hrp","2","30","8",NA,NA,NA,"0.258005780624625","-20.8296485598404"
"25","2","30","9","16.3513722558284","-26.7027445116568","0.159044887706799","188.625993784253","116.92154748767","2"
"26","cds-hnc","2","30","9",NA,NA,NA,"0.398834809526675","-23.7011681774424"
"27","cds-hrp","2","30","9",NA,NA,NA,"0.183010168465813","-23.6802810862035"
"28","2","30","10","13.9909255601663","-21.9818511203327","0.308848094399311","97.135130648444","116.92154748767","2"
"29","cds-hnc","2","30","10",NA,NA,NA,"0.428023714779888","-19.9075723707098"
"30","cds-hrp","2","30","10",NA,NA,NA,"0.332791677337496","-23.0688739363404"
"31","2","30","11","5.91276234930306","-5.82552469860611","0.37001472693784","81.0778539769846","116.92154748767","2"
"32","cds-hnc","2","30","11",NA,NA,NA,NA,NA
"33","cds-hrp","2","30","11",NA,NA,NA,"0.368416177491201","-6.33834185220125"
"34","2","30","12","8.79303403341268","-11.5860680668254","0.309937278983257","96.7937774326934","116.92154748767","2"
"35","cds-hnc","2","30","12",NA,NA,NA,"0.521198024899231","-10.6443547950962"
"36","cds-hrp","2","30","12",NA,NA,NA,"0.275874421954358","-11.1030331751592"
"37","2","30","13","6.51876452089474","-11.0375290417895","0.516276142408524","58.1084375893188","116.92154748767","1"
"38","cds-hnc","2","30","13",NA,NA,NA,"0.516276144266526","-11.0375290417895"
"39","cds-hrp","2","30","13",NA,NA,NA,"0.434169217979073","-11.6973403710935"
"40","2","30","14","6.54687350444499","-7.09374700888998","0.323955987081688","92.6051722959368","116.92154748767","2"
"41","cds-hnc","2","30","14",NA,NA,NA,"0.667035687458246","-0.578241703752377"
"42","cds-hrp","2","30","14",NA,NA,NA,"0.336004657091967","-6.83203665520346"
"43","2","30","15","5.9473696772279","-5.89473935445579","0.23651449726503","126.842118969067","116.92154748767","2"
"44","cds-hnc","2","30","15",NA,NA,NA,"0.598637420530953","-5.59706803714777"
"45","cds-hrp","2","30","15",NA,NA,NA,"0.312812921969835","-7.18069035384437"
"46","2","30","16","9.20577291635561","-16.4115458327112","0.458644798005735","65.4100954168565","116.92154748767","1"
"47","cds-hnc","2","30","16",NA,NA,NA,"0.458644890412425","-16.4115458327092"
"48","cds-hrp","2","30","16",NA,NA,NA,"0.60334712870692","-13.0689088702725"
"49","2","30","17","11.6320882364507","-17.2641764729013","0.172572333198946","173.840148324444","116.92154748767","2"
"50","cds-hnc","2","30","17",NA,NA,NA,"0.460606234045069","-16.203628736301"
"51","cds-hrp","2","30","17",NA,NA,NA,NA,NA
"52","2","30","18","6.16244247542875","-10.3248849508575","0.525287954507597","57.111532336815","116.92154748767","1"
"53","cds-hnc","2","30","18",NA,NA,NA,"0.525288044246522","-10.3248849508561"
"54","cds-hrp","2","30","18",NA,NA,NA,"0.577051676578268","-8.17680949598104"
"55","2","30","19","5.57493100614347","-5.14986201228693","0.380464291228055","78.8510267367448","116.92154748767","2"
"56","cds-hnc","2","30","19",NA,NA,NA,"0.656299527218414","-0.975951210431841"
"57","cds-hrp","2","30","19",NA,NA,NA,"0.350876829645718","-5.99251805787599"
"58","2","30","20","4.31340581565306","-2.62681163130613","0.406032648337305","73.8856841262626","116.92154748767","2"
"59","cds-hnc","2","30","20",NA,NA,NA,NA,NA
"60","cds-hrp","2","30","20",NA,NA,NA,"0.386971776740136","-2.83038923397305"
"61","2","30","21","14.4949831557649","-26.9899663115298","0.37607605341112","79.7710987655056","116.92154748767","1"
"62","cds-hnc","2","30","21",NA,NA,NA,"0.376075963643587","-26.9899663115267"
"63","cds-hrp","2","30","21",NA,NA,NA,"0.320206767135637","-27.0957141456759"
"64","2","30","22","8.44809675410577","-10.8961935082115","0.112072512718235","267.683834977663","116.92154748767","2"
"65","cds-hnc","2","30","22",NA,NA,NA,"0.53871416158194","-9.3210360485303"
"66","cds-hrp","2","30","22",NA,NA,NA,"0.4352395556797","-8.3451572068712"
"67","2","30","23","13.7197502978497","-21.4395005956995","0.162232375587872","184.919932851201","116.92154748767","2"
"68","cds-hnc","2","30","23",NA,NA,NA,"0.526519817113115","-5.6791490891944"
"69","cds-hrp","2","30","23",NA,NA,NA,"0.249109051893839","-19.0666013584296"
"70","2","30","24","4.57788583311459","-7.15577166622919","0.571244218855348","52.5169428587192","116.92154748767","1"
"71","cds-hnc","2","30","24",NA,NA,NA,"0.571244125293451","-7.15577166622808"
"72","cds-hrp","2","30","24",NA,NA,NA,"0.325815766358455","-6.60983955131144"
"73","2","30","25","8.39888086557788","-10.7977617311558","0.289900383120479","103.483823226037","116.92154748767","2"
"74","cds-hnc","2","30","25",NA,NA,NA,"0.565010641028936","-7.54299597838029"
"75","cds-hrp","2","30","25",NA,NA,NA,"0.251875401979189","-10.383827488431"
"76","2","30","26","12.0120699291783","-18.0241398583566","0.338441438812641","88.6416276483443","116.92154748767","2"
"77","cds-hnc","2","30","26",NA,NA,NA,"0.456763003190187","-16.6127948005512"
"78","cds-hrp","2","30","26",NA,NA,NA,"0.282169816620716","-19.6141582314878"
"79","2","30","27","3.55423729963459","-5.10847459926917","0.608120191827002","49.3323530499287","116.92154748767","1"
"80","cds-hnc","2","30","27",NA,NA,NA,"0.6081202804519","-5.10847459926838"
"81","cds-hrp","2","30","27",NA,NA,NA,"0.375746291598845","-5.96081445479567"
"82","2","30","28","10.3715712548319","-18.7431425096639","0.437766727670077","68.5296485634456","116.92154748767","1"
"83","cds-hnc","2","30","28",NA,NA,NA,"0.437766634097616","-18.7431425096614"
"84","cds-hrp","2","30","28",NA,NA,NA,"0.386703160138079","-18.1061705110324"
"85","2","30","29","9.13648610283121","-12.2729722056624","0.275009710655038","109.087057066254","116.92154748767","2"
"86","cds-hnc","2","30","29",NA,NA,NA,"0.652363324575012","-1.13206726603712"
"87","cds-hrp","2","30","29",NA,NA,NA,"0.320524822725874","-8.81304528533483"
"88","2","30","30","8.92104616205285","-11.8420923241057","0.196135365561784","152.955587148049","116.92154748767","2"
"89","cds-hnc","2","30","30",NA,NA,NA,"0.549284697871724","-8.57735697131792"
"90","cds-hrp","2","30","30",NA,NA,NA,"0.252134837740058","-9.86821308628587"
"91","2","30","31","6.61444189954389","-7.22888379908778","0.218251773471529","137.455927724287","116.92154748767","2"
"92","cds-hnc","2","30","31",NA,NA,NA,NA,NA
"93","cds-hrp","2","30","31",NA,NA,NA,"0.575748405175567","1.89023040078026"
"94","2","30","32","19.2208203821516","-36.4416407643031","0.319828797277897","93.8001838963026","116.92154748767","1"
"95","cds-hnc","2","30","32",NA,NA,NA,"0.319828710657416","-36.4416407642989"
"96","cds-hrp","2","30","32",NA,NA,NA,"0.212402308091858","-32.543282588619"
"97","2","30","33","3.28092990538416","-4.56185981076833","0.619341252400427","48.4385625593754","116.92154748767","1"
"98","cds-hnc","2","30","33",NA,NA,NA,"0.619341247150369","-4.56185981076834"
"99","cds-hrp","2","30","33",NA,NA,NA,"0.553576228155545","-3.5687400385651"
"100","2","30","34","10.7733502558001","-15.5467005116003","0.288340706199664","104.043582314133","116.92154748767","2"
"101","cds-hnc","2","30","34",NA,NA,NA,"0.542224263362868","-5.75856633127879"
"102","cds-hrp","2","30","34",NA,NA,NA,"0.134048211882809","-16.1004155099299"
"103","2","30","35","8.82241511480941","-15.6448302296188","0.465967319706406","64.3821974873736","116.92154748767","1"
"104","cds-hnc","2","30","35",NA,NA,NA,"0.465967225030087","-15.6448302296167"
"105","cds-hrp","2","30","35",NA,NA,NA,"0.427826617511705","-14.1048002309945"
"106","2","30","36","10.4158788329539","-18.8317576659077","0.437010431894014","68.6482468392786","116.92154748767","1"
"107","cds-hnc","2","30","36",NA,NA,NA,"0.437010434656327","-18.8317576659077"
"108","cds-hrp","2","30","36",NA,NA,NA,"0.473768396837394","-16.3445511198716"
"109","2","30","37","7.98536498949147","-9.97072997898294","0.385260863895007","77.869316121805","116.92154748767","2"
"110","cds-hnc","2","30","37",NA,NA,NA,"0.56070178251661","-7.81809795397304"
"111","cds-hrp","2","30","37",NA,NA,NA,"0.157151090009541","-8.82089292845478"
"112","2","30","38","15.8642089471519","-25.7284178943039","0.191395535920056","156.743467687411","116.92154748767","2"
"113","cds-hnc","2","30","38",NA,NA,NA,"0.45187212990513","-13.4031504740597"
"114","cds-hrp","2","30","38",NA,NA,NA,"0.13383240677108","-25.8665667697474"
"115","2","30","39","6.64024031086993","-7.28048062173986","0.314860140769213","95.2803995028049","116.92154748767","2"
"116","cds-hnc","2","30","39",NA,NA,NA,"0.621486122029583","-2.46216765272556"
"117","cds-hrp","2","30","39",NA,NA,NA,"0.330305034187277","-5.34574118495761"
"118","2","30","40","9.55098895278522","-13.1019779055704","0.235577044285662","127.346873253159","116.92154748767","2"
"119","cds-hnc","2","30","40",NA,NA,NA,"0.519343341284647","-10.7913853784586"
"120","cds-hrp","2","30","40",NA,NA,NA,"0.239418708423815","-12.880235751404"
"121","2","30","41","8.60298227290945","-11.2059645458189","0.324000640174261","92.5924096442056","116.92154748767","2"
"122","cds-hnc","2","30","41",NA,NA,NA,"0.564905190756604","-7.54965551106119"
"123","cds-hrp","2","30","41",NA,NA,NA,"0.354424560230311","-11.5193929913921"
"124","2","30","42","11.0512546886236","-16.1025093772472","0.0899773210344181","333.417350673559","116.92154748767","2"
"125","cds-hnc","2","30","42",NA,NA,NA,"0.53111047940538","-7.86222786925007"
"126","cds-hrp","2","30","42",NA,NA,NA,"0.285807803314647","-9.31195195920752"
"127","2","30","43","2.50180301054211","-3.00360602108422","0.655779643243591","45.7470742025709","116.92154748767","1"
"128","cds-hnc","2","30","43",NA,NA,NA,"0.655779641983751","-3.00360602108421"
"129","cds-hrp","2","30","43",NA,NA,NA,"0.457398970851052","-3.73823712973017"
"130","2","30","44","10.4969443483533","-14.9938886967065","0.125689211595296","238.683969922545","116.92154748767","2"
"131","cds-hnc","2","30","44",NA,NA,NA,"0.515697934267773","-11.084351384995"
"132","cds-hrp","2","30","44",NA,NA,NA,"0.271778217734597","-11.0354419643601"
"133","2","30","45","7.15921499766717","-12.3184299953343","0.501022652252086","59.8775322136646","116.92154748767","1"
"134","cds-hnc","2","30","45",NA,NA,NA,"0.501022652115044","-12.3184299953343"
"135","cds-hrp","2","30","45",NA,NA,NA,"0.518079448687853","-10.7937550218431"
"136","2","30","46","6.09625816516921","-10.1925163303384","0.527007358764434","56.925201329892","116.92154748767","1"
"137","cds-hnc","2","30","46",NA,NA,NA,"0.527007269996901","-10.1925163303371"
"138","cds-hrp","2","30","46",NA,NA,NA,"0.408975378530581","-9.18277342704171"
"139","2","30","47","1.47762106242954","-0.955242124859078","0.719478870744439","41.6968464535439","116.92154748767","1"
"140","cds-hnc","2","30","47",NA,NA,NA,"0.719478864493784","-0.95524212485909"
"141","cds-hrp","2","30","47",NA,NA,NA,"0.645876028631241","0.170613705846421"
"142","2","30","48","2.16481882806745","-2.32963765613489","0.674214652496313","44.4962148018046","116.92154748767","1"
"143","cds-hnc","2","30","48",NA,NA,NA,"0.674214648534068","-2.32963765613489"
"144","cds-hrp","2","30","48",NA,NA,NA,"0.540589128487821","-0.690862242869887"
"145","2","30","49","6.04101881965502","-6.08203763931004","0.294351517416875","101.918958200961","116.92154748767","2"
"146","cds-hnc","2","30","49",NA,NA,NA,"0.666323904674973","-0.59959564723821"
"147","cds-hrp","2","30","49",NA,NA,NA,"0.33454826953482","-6.28933883928978"
"148","2","30","50","15.067890978665","-24.13578195733","0.191754326630365","156.450185647333","116.92154748767","2"
"149","cds-hnc","2","30","50",NA,NA,NA,"0.429094834279602","-19.7771107575242"
"150","cds-hrp","2","30","50",NA,NA,NA,"0.218714318366078","-24.7860527670722"
"151","2","30","51","9.66032896109039","-17.3206579221808","0.450268999993579","66.6268386240843","116.92154748767","1"
"152","cds-hnc","2","30","51",NA,NA,NA,"0.450268902505101","-17.3206579221784"
"153","cds-hrp","2","30","51",NA,NA,NA,"0.421365136890442","-15.9381221790193"
"154","2","30","52","7.75850963689604","-9.51701927379208","0.218499237039855","137.300250593223","116.92154748767","2"
"155","cds-hnc","2","30","52",NA,NA,NA,NA,NA
"156","cds-hrp","2","30","52",NA,NA,NA,"0.331411723506466","-6.00923379754803"
"157","2","30","53","9.76735168381815","-13.5347033676363","0.341731688722156","87.7881712175408","116.92154748767","2"
"158","cds-hnc","2","30","53",NA,NA,NA,"0.531191234209516","-5.4387047690232"
"159","cds-hrp","2","30","53",NA,NA,NA,NA,NA
"160","2","30","54","6.85207499190212","-11.7041499838042","0.508195474885689","59.0324028500019","116.92154748767","1"
"161","cds-hnc","2","30","54",NA,NA,NA,"0.508195473992133","-11.7041499838042"
"162","cds-hrp","2","30","54",NA,NA,NA,"0.433808368303985","-10.0624711280767"
"163","2","30","55","13.860350960292","-21.720701920584","0.29775709885458","100.753265381093","116.92154748767","2"
"164","cds-hnc","2","30","55",NA,NA,NA,"0.460164167046757","-16.2503257356388"
"165","cds-hrp","2","30","55",NA,NA,NA,"0.253271159014483","-20.2830388562559"
"166","2","30","56","5.71677588054106","-5.43355176108213","0.365993234480328","81.9687283088631","116.92154748767","2"
"167","cds-hnc","2","30","56",NA,NA,NA,"0.706126982088707","0.676599008847539"
"168","cds-hrp","2","30","56",NA,NA,NA,"0.392097872159755","-4.47235430710005"
"169","2","30","57","7.4038554815534","-12.8077109631068","0.495483302164615","60.5469445063823","116.92154748767","1"
"170","cds-hnc","2","30","57",NA,NA,NA,"0.495483303647161","-12.8077109631068"
"171","cds-hrp","2","30","57",NA,NA,NA,"0.448982107686821","-12.0791246403003"
"172","2","30","58","22.0554468259643","-38.1108936519286","0.187981333106772","159.590314124223","116.92154748767","2"
"173","cds-hnc","2","30","58",NA,NA,NA,"0.418828533821334","-19.0189961004736"
"174","cds-hrp","2","30","58",NA,NA,NA,"0.193998437486158","-37.5723834967821"
"175","2","30","59","7.34951483817974","-8.69902967635949","0.359710141333449","83.4004843143696","116.92154748767","2"
"176","cds-hnc","2","30","59",NA,NA,NA,"0.568924218762062","-7.2984183113458"
"177","cds-hrp","2","30","59",NA,NA,NA,"0.388535948775199","-9.88790646478606"
"178","2","30","60","13.5476273146518","-25.0952546293036","0.388935224028628","77.1336668591165","116.92154748767","1"
"179","cds-hnc","2","30","60",NA,NA,NA,"0.3889352203191","-25.0952546293036"
"180","cds-hrp","2","30","60",NA,NA,NA,"0.529319319672915","-22.9147315044548"
"181","2","30","61","6.18479556663987","-10.3695911332797","0.524710566535544","57.1743774821958","116.92154748767","1"
"182","cds-hnc","2","30","61",NA,NA,NA,"0.524710564400144","-10.3695911332797"
"183","cds-hrp","2","30","61",NA,NA,NA,"0.332361165330444","-9.93977769381614"
"184","2","30","62","4.5373024217995","-7.074604843599","0.572576986575337","52.3947009806213","116.92154748767","1"
"185","cds-hnc","2","30","62",NA,NA,NA,"0.572576900321279","-7.074604843598"
"186","cds-hrp","2","30","62",NA,NA,NA,NA,NA
"187","2","30","63","11.1163781084809","-20.2327562169618","0.425375009751654","70.5260048480866","116.92154748767","1"
"188","cds-hnc","2","30","63",NA,NA,NA,"0.425375006254831","-20.2327562169618"
"189","cds-hrp","2","30","63",NA,NA,NA,"0.369967722277375","-20.2106549029696"
"190","2","30","64","2.88657277738579","0.226854445228425","0.454030793381554","66.074813508935","116.92154748767","2"
"191","cds-hnc","2","30","64",NA,NA,NA,"0.728117795536041","5.08543443761289"
"192","cds-hrp","2","30","64",NA,NA,NA,NA,NA
"193","2","30","65","6.9189299327537","-7.8378598655074","0.141990660587974","211.281501725339","116.92154748767","2"
"194","cds-hnc","2","30","65",NA,NA,NA,"0.590391369054282","-2.6412227007982"
"195","cds-hrp","2","30","65",NA,NA,NA,"0.347761284559846","-5.52418165460806"
"196","2","30","66","10.3696070546848","-18.7392141093697","0.437800313630794","68.5243912942913","116.92154748767","1"
"197","cds-hnc","2","30","66",NA,NA,NA,"0.437800311208621","-18.7392141093697"
"198","cds-hrp","2","30","66",NA,NA,NA,"0.52682308404705","-17.0636648877894"
"199","2","30","67","6.46926671802001","-6.93853343604003","0.194096831849028","154.562028211437","116.92154748767","2"
"200","cds-hnc","2","30","67",NA,NA,NA,NA,NA
"201","cds-hrp","2","30","67",NA,NA,NA,"0.443459837576148","-1.67997962558733"
"202","2","30","68","1.70086251129433","-1.40172502258865","0.703376108432864","42.651434474851","116.92154748767","1"
"203","cds-hnc","2","30","68",NA,NA,NA,"0.70337610904405","-1.40172502258864"
"204","cds-hrp","2","30","68",NA,NA,NA,NA,NA
"205","2","30","69","4.28980080466499","-2.57960160932999","0.42129167508292","71.2095723090074","116.92154748767","2"
"206","cds-hnc","2","30","69",NA,NA,NA,"0.722738125813316","-0.870170582245041"
"207","cds-hrp","2","30","69",NA,NA,NA,"0.497310983995805","-2.14190744925961"
"208","2","30","70","5.71721421563564","-9.43442843127129","0.537151298600168","55.8501861173582","116.92154748767","1"
"209","cds-hnc","2","30","70",NA,NA,NA,"0.537151300643058","-9.43442843127126"
"210","cds-hrp","2","30","70",NA,NA,NA,"0.41169406660638","-9.03982436178028"
"211","2","30","71","4.99876172843448","-7.99752345686896","0.557942454952343","53.7689859119297","116.92154748767","1"
"212","cds-hnc","2","30","71",NA,NA,NA,"0.557942455444709","-7.99752345686894"
"213","cds-hrp","2","30","71",NA,NA,NA,NA,NA
"214","2","30","72","17.544435777763","-29.088871555526","0.222998144148049","134.530267570671","116.92154748767","2"
"215","cds-hnc","2","30","72",NA,NA,NA,"0.445331167284995","-17.872989139759"
"216","cds-hrp","2","30","72",NA,NA,NA,"0.251943677046017","-28.0100359286022"
"217","2","30","73","20.1032309262574","-34.2064618525147","0.0849934252537317","352.968478566909","116.92154748767","2"
"218","cds-hnc","2","30","73",NA,NA,NA,"0.368445533330678","-28.159810643167"
"219","cds-hrp","2","30","73",NA,NA,NA,"0.130562124406284","-28.5419424544648"
"220","2","30","74","6.35247193854558","-6.70494387709116","0.000942660676703932","31824.8132561302","116.92154748767","2"
"221","cds-hnc","2","30","74",NA,NA,NA,NA,NA
"222","cds-hrp","2","30","74",NA,NA,NA,"0.563597240779819","0.444155349513718"
"223","2","30","75","9.72142964485891","-17.4428592897178","0.449167022084074","66.7902996546899","116.92154748767","1"
"224","cds-hnc","2","30","75",NA,NA,NA,"0.449167021525896","-17.4428592897178"
"225","cds-hrp","2","30","75",NA,NA,NA,"0.347334291263614","-19.8692933633031"
"226","2","30","76","8.56036546211794","-11.1207309242359","0.366706286848185","81.8093419064285","116.92154748767","2"
"227","cds-hnc","2","30","76",NA,NA,NA,"0.548853415221991","-8.60692094745719"
"228","cds-hrp","2","30","76",NA,NA,NA,"0.291831313976907","-12.8813469515037"
"229","2","30","77","7.5763275026875","-9.15265500537499","0.340916746395615","87.9980239081205","116.92154748767","2"
"230","cds-hnc","2","30","77",NA,NA,NA,"0.552998090841746","-8.32549516197832"
"231","cds-hrp","2","30","77",NA,NA,NA,"0.367117629632637","-9.96299548045993"
"232","2","30","78","11.3494552244271","-20.6989104488543","0.421630169727688","71.1524035848186","116.92154748767","1"
"233","cds-hnc","2","30","78",NA,NA,NA,"0.421630168017633","-20.6989104488543"
"234","cds-hrp","2","30","78",NA,NA,NA,"0.446342901637173","-19.8924863111817"
"235","2","30","79","15.959949498465","-25.91989899693","0.233273908451677","128.604181235359","116.92154748767","2"
"236","cds-hnc","2","30","79",NA,NA,NA,"-13.2905986007327","116.92154748767"
"237","cds-hrp","2","30","79",NA,NA,NA,"0.122601598829859","-24.8735128040405"
"238","2","30","80","11.8813266551726","-17.7626533103453","0.163799883674229","183.150313217958","116.92154748767","2"
"239","cds-hnc","2","30","80",NA,NA,NA,"0.484732215442777","-13.7954309864975"
"240","cds-hrp","2","30","80",NA,NA,NA,NA,NA
"241","2","30","81","6.72815143471206","-7.45630286942412","0.169043687542139","177.468916090236","116.92154748767","2"
"242","cds-hnc","2","30","81",NA,NA,NA,"0.657542903320625","0.103147345533331"
"243","cds-hrp","2","30","81",NA,NA,NA,"0.393527878379338","-2.69947420852886"
"244","2","30","82","11.347244729557","-20.694489459114","0.421665405924575","71.1464577802387","116.92154748767","1"
"245","cds-hnc","2","30","82",NA,NA,NA,"0.421665308627453","-20.6944894591112"
"246","cds-hrp","2","30","82",NA,NA,NA,"0.427928042025465","-18.3054529565596"
"247","2","30","83","7.70996765009161","-13.4199353001832","0.488754385327551","61.3805234297688","116.92154748767","1"
"248","cds-hnc","2","30","83",NA,NA,NA,"0.488754385505351","-13.4199353001832"
"249","cds-hrp","2","30","83",NA,NA,NA,"0.480784319360087","-12.3420315078443"
"250","2","30","84","14.653327906832","-23.3066558136639","0.154852224693589","193.733090108082","116.92154748767","2"
"251","cds-hnc","2","30","84",NA,NA,NA,"0.48801041429106","-13.4888469025387"
"252","cds-hrp","2","30","84",NA,NA,NA,"0.190468471563812","-20.2017908190792"
"253","2","30","85","14.1915332523804","-22.3830665047608","0.276280226296208","108.585404037697","116.92154748767","2"
"254","cds-hnc","2","30","85",NA,NA,NA,"0.418527508818474","-21.0908193933267"
"255","cds-hrp","2","30","85",NA,NA,NA,"0.257790024653732","-23.9640628762063"
"256","2","30","86","5.17160732296243","-4.34321464592487","0.118578758725824","252.996407808295","116.92154748767","2"
"257","cds-hnc","2","30","86",NA,NA,NA,"0.620394824450861","3.00588634763614"
"258","cds-hrp","2","30","86",NA,NA,NA,"0.377995475124465","-1.94144926022466"
"259","2","30","87","6.54191861886028","-7.08383723772057","0.392431703436132","76.446423001302","116.92154748767","2"
"260","cds-hnc","2","30","87",NA,NA,NA,"0.617676530467162","-4.64085776732214"
"261","cds-hrp","2","30","87",NA,NA,NA,"0.423403299417684","-7.24573038267875"
"262","2","30","88","10.3175605832279","-14.6351211664558","0.116791018840438","256.869066627345","116.92154748767","2"
"263","cds-hnc","2","30","88",NA,NA,NA,"0.574043150316559","-4.97674943881154"
"264","cds-hrp","2","30","88",NA,NA,NA,"0.190078878686412","-16.0339203266834"
"265","2","30","89","7.51692025187012","-13.0338405037402","0.492972487200991","60.8553231242875","116.92154748767","1"
"266","cds-hnc","2","30","89",NA,NA,NA,"0.492972486556774","-13.0338405037402"
"267","cds-hrp","2","30","89",NA,NA,NA,"0.436100507838652","-13.7208313194707"
"268","2","30","90","6.35916400606273","-10.7183280121255","0.520262770063822","57.6631689334984","116.92154748767","1"
"269","cds-hnc","2","30","90",NA,NA,NA,"0.520262769490512","-10.7183280121255"
"270","cds-hrp","2","30","90",NA,NA,NA,"0.418994855442717","-10.4614529257187"
"271","2","30","91","15.0683065365504","-24.1366130731008","0.125046500967421","239.910751343742","116.92154748767","2"
"272","cds-hnc","2","30","91",NA,NA,NA,"0.527217776847396","-8.14859633083003"
"273","cds-hrp","2","30","91",NA,NA,NA,"0.141885823695362","-22.7519901276387"
"274","2","30","92","10.1446859560151","-14.2893719120301","0.259471736806414","115.619529006284","116.92154748767","2"
"275","cds-hnc","2","30","92",NA,NA,NA,"0.50145209559019","-12.2810444264607"
"276","cds-hrp","2","30","92",NA,NA,NA,"0.230983154476334","-14.0328872027047"
"277","2","30","93","17.7710441491127","-29.5420882982253","0.226415636321536","132.499682828427","116.92154748767","2"
"278","cds-hnc","2","30","93",NA,NA,NA,"0.441261150336043","-18.3375308527413"
"279","cds-hrp","2","30","93",NA,NA,NA,"0.236492611034288","-29.201563605101"
"280","2","30","94","11.4917382796403","-16.9834765592807","0.0440064161061003","681.718773182289","116.92154748767","2"
"281","cds-hnc","2","30","94",NA,NA,NA,NA,NA
"282","cds-hrp","2","30","94",NA,NA,NA,"-11.3414858019435","116.92154748767"
"283","2","30","95","6.67638931017732","-11.3527786203546","0.512414611863696","58.5463398299424","116.92154748767","1"
"284","cds-hnc","2","30","95",NA,NA,NA,"0.512414702252931","-11.3527786203532"
"285","cds-hrp","2","30","95",NA,NA,NA,"0.551941918012269","-9.74400674124924"
"286","2","30","96","12.7719683981572","-19.5439367963144","0.243513063896116","123.196675858007","116.92154748767","2"
"287","cds-hnc","2","30","96",NA,NA,NA,NA,NA
"288","cds-hrp","2","30","96",NA,NA,NA,"0.23457309440195","-19.8474204925067"
"289","2","30","97","4.94190055454593","-7.88380110909185","0.559686771588704","53.6014097936302","116.92154748767","1"
"290","cds-hnc","2","30","97",NA,NA,NA,"0.559686776626291","-7.88380110909185"
"291","cds-hrp","2","30","97",NA,NA,NA,"0.563369642084889","-6.30180376589928"
"292","2","30","98","10.6135436636911","-15.2270873273822","0.0774221577915689","387.485971144903","116.92154748767","2"
"293","cds-hnc","2","30","98",NA,NA,NA,NA,NA
"294","cds-hrp","2","30","98",NA,NA,NA,"0.325348240356929","-6.0034483380187"
"295","2","30","99","19.2601841476578","-36.5203682953155","0.319405040454714","93.9246292334372","116.92154748767","1"
"296","cds-hnc","2","30","99",NA,NA,NA,"0.319405039914538","-36.5203682953155"
"297","cds-hrp","2","30","99",NA,NA,NA,"0.299388930535904","-33.6327847693967"
"298","2","30","100","9.87555147112394","-13.7511029422479","0.223938208325747","133.965526581159","116.92154748767","2"
"299","cds-hnc","2","30","100",NA,NA,NA,"0.505349094020727","-9.93891226957106"
"300","cds-hrp","2","30","100",NA,NA,NA,"0.22395517292269","-13.7364514457951"
"301","2","30","101","6.20524843912458","-6.41049687824915","0.228503933636629","131.288768304998","116.92154748767","2"
"302","cds-hnc","2","30","101",NA,NA,NA,"0.61095424476735","0.949659686476235"
"303","cds-hrp","2","30","101",NA,NA,NA,"0.351638112078441","-4.10660253882356"
"304","2","30","102","4.8976840751099","-3.79536815021981","0.380136158781158","78.9190907178887","116.92154748767","2"
"305","cds-hnc","2","30","102",NA,NA,NA,"0.638921523015855","2.16964544794722"
