"","","","","","","","1","","",""
"60","cds-hnc-w","1","30","12","ll","-2.42208217252104","0.44929121488022","66.771837521902","59.4346982654428","mt"
"61","mmds-MS","1","30","13","3.54795481068599","-5.09590962137199","0.608370586525479","49.312048715793","59.4346982654428","1"
"62","cds-hnc","1","30","13","ll","-5.09590962137199","0.608370586136758","49.3120487473012","59.4346982654428","mt"
"63","cds-hnc","1","30","13","ll","-3.18493947139668","0.437954671396651","68.5002397721415","59.4346982654428","mt"
"64","cds-hnc-w","1","30","13","ll","-5.09590962137199","0.608370586136758","49.3120487473012","59.4346982654428","mt"
"65","cds-hnc-w","1","30","13","ll","-3.18493947139668","0.437954671396651","68.5002397721415","59.4346982654428","mt"
"66","mmds-MS","1","30","14","0.0323163969249501","1.9353672061501","0.949951772691212","31.5805505736465","59.4346982654428","1"
"67","cds-hnc","1","30","14",NA,NA,NA,NA,NA,NA
"68","cds-hnc","1","30","14","ll","3.65294081394886","0.953049188973169","31.47791357162","59.4346982654428","mt"
"69","cds-hnc-w","1","30","14",NA,NA,NA,NA,NA,NA
"70","cds-hnc-w","1","30","14","ll","3.65294081394886","0.953049188973169","31.47791357162","59.4346982654428","mt"
"71","mmds-MS","1","30","15","4.47118325415656","-2.94236650831311","0.223812644197328","134.040684375052","59.4346982654428","2"
"72","cds-hnc","1","30","15","ll","-2.08022554819913","0.6815704653701","44.0159917782084","59.4346982654428","mt"
"73","cds-hnc","1","30","15","ll","-7.61527595336888","0.79567151568915","37.7040014735431","59.4346982654428","mt"
"74","cds-hnc-w","1","30","15","ll","-2.08022554819913","0.6815704653701","44.0159917782084","59.4346982654428","mt"
"75","cds-hrp-w","1","30","15",NA,NA,NA,NA,NA,NA
"76","mmds-MS","1","30","16","0.479896308550495","1.04020738289901","0.824997336487006","36.3637537640372","59.4346982654428","1"
"77","cds-hnc","1","30","16","ll","1.04020738289904","0.824997344687987","36.3637534025591","59.4346982654428","mt"
"78","cds-hnc","1","30","16","ll","2.14485363735375","0.918817673309218","32.6506562416805","59.4346982654428","mt"
"79","cds-hnc-w","1","30","16","ll","1.04020738289904","0.824997344687987","36.3637534025591","59.4346982654428","mt"
"80","cds-hnc-w","1","30","16","ll","2.14485363735375","0.918817673309218","32.6506562416805","59.4346982654428","mt"
"81","mmds-MS","1","30","17","4.95743953863458","-3.91487907726916","0.174605606321404","171.815788920189","59.4346982654428","2"
"82","cds-hnc","1","30","17","ll","1.68222493403602","0.705440321050271","42.5266306798788","59.4346982654428","mt"
"83","cds-hnc","1","30","17","ll","-2.79719328852298","0.371852988119744","80.6770443117683","59.4346982654428","mt"
"84","cds-hnc-w","1","30","17",NA,NA,NA,NA,NA,NA
"85","cds-hnc-w","1","30","17","ll","-2.79719328852298","0.371852988119744","80.6770443117683","59.4346982654428","mt"
"86","mmds-MS","1","30","18","0.248994752955722","1.50201049408856","0.869365333861489","34.5079322023895","59.4346982654428","1"
"87","cds-hnc","1","30","18",NA,NA,NA,NA,NA,NA
"88","cds-hnc","1","30","18","ll","3.32280330266297","0.891861485957498","33.6375103896231","59.4346982654428","mt"
"89","cds-hnc-w","1","30","18",NA,NA,NA,NA,NA,NA
"90","cds-hnc-w","1","30","18","ll","3.32280330266297","0.891861485957498","33.6375103896231","59.4346982654428","mt"
"91","mmds-MS","1","30","19","7.61505371443601","-9.23010742887203","0.156566893368665","191.611389576209","59.4346982654428","2"
"92","cds-hnc","1","30","19","ll","-3.53722889284276","0.599637485949416","50.0302277675328","59.4346982654428","mt"
"93","cds-hnc","1","30","19","ll","-6.78070651207464","0.33433844698116","89.7294351603257","59.4346982654428","mt"
"94","cds-hnc-w","1","30","19","ll","-3.535633978558","0.599669461751","50.0275600368272","59.4346982654428","mt"
"95","cds-hnc-w","1","30","19","ll","-7.01126478552683","0.306920388691438","97.745217018347","59.4346982654428","mt"
"96","mmds-MS","1","30","20","0.056779954653151","1.8864400906937","0.934421273160888","32.1054334502877","59.4346982654428","1"
"97","cds-hnc","1","30","20",NA,NA,NA,NA,NA,NA
"98","cds-hrp","1","30","20",NA,NA,NA,NA,NA,NA
"99","cds-hnc-w","1","30","20",NA,NA,NA,NA,NA,NA
"100","cds-hrp-w","1","30","20",NA,NA,NA,NA,NA,NA
"101","mmds-MS","1","30","21","3.23318891207477","-4.46637782414955","0.621373932919875","48.2801070508834","59.4346982654428","1"
"102","cds-hnc","1","30","21","ll","-4.46637782414954","0.621373930559746","48.280107234263","59.4346982654428","mt"
"103","cds-hnc","1","30","21","ll","-2.97982805120985","0.492965508390529","60.8561846404757","59.4346982654428","mt"
"104","cds-hnc-w","1","30","21","ll","-4.46637782414954","0.621373930559746","48.280107234263","59.4346982654428","mt"
"105","cds-hnc-w","1","30","21","ll","-2.97982805120985","0.492965508390529","60.8561846404757","59.4346982654428","mt"
"106","mmds-MS","1","30","22","7.06350372487304","-8.12700744974608","0.0496750567123917","603.924826370985","59.4346982654428","2"
"107","cds-hnc","1","30","22","ll","-7.46759566745413","0.566208667307872","52.9839999494174","59.4346982654428","mt"
"108","cds-hrp","1","30","22",NA,NA,NA,NA,NA,NA
"109","cds-hnc-w","1","30","22","ll","-7.46759566745413","0.566208667307872","52.9839999494174","59.4346982654428","mt"
"110","cds-hnc-w","1","30","22","ll","-8.44641912199656","0.690181729513771","43.4668127496432","59.4346982654428","mt"
"111","mmds-MS","1","30","23","9.60213124991513","-17.2042624998303","0.451323744751406","66.471131530038","59.4346982654428","1"
"112","cds-hnc","1","30","23","ll","-17.2042624998281","0.451323653623451","66.4711449514003","59.4346982654428","mt"
"113","cds-hnc","1","30","23","ll","-18.0240386653958","0.590056951875353","50.842549866843","59.4346982654428","mt"
