"","","","","","","","1","","",""
"1330","cds-hnc-w","1","60","66","ll","-27.0548197858138","0.287352249617952","208.802959015538","118.869396530886","mt"
"1331","mmds-MS","1","60","67","5.26179099860069","-8.52358199720138","0.649203390851483","92.4209590484503","118.869396530886","1"
"1332","cds-hnc","1","60","67","ll","-8.52358199720021","0.649203310282193","92.4209705183411","118.869396530886","mt"
"1333","cds-hnc","1","60","67","ll","-8.41608241440776","0.49664094964854","120.811624660553","118.869396530886","mt"
"1334","cds-hnc-w","1","60","67","ll","-8.52358199720021","0.649203310282193","92.4209705183411","118.869396530886","mt"
"1335","cds-hnc-w","1","60","67","ll","-8.41608241440776","0.49664094964854","120.811624660553","118.869396530886","mt"
"1336","mmds-MS","1","60","68","6.17230587582819","-10.3446117516564","0.627781101098281","95.5747152869561","118.869396530886","1"
"1337","cds-hnc","1","60","68","ll","-10.3446117516564","0.627781102740111","95.5747150370004","118.869396530886","mt"
"1338","cds-hnc","1","60","68","ll","-7.87197704834598","0.599259974679906","100.123489862724","118.869396530886","mt"
"1339","cds-hnc-w","1","60","68","ll","-10.3446117516564","0.627781102740111","95.5747150370004","118.869396530886","mt"
"1340","cds-hnc-w","1","60","68","ll","-7.87197704834598","0.599259974679906","100.123489862724","118.869396530886","mt"
"1341","mmds-MS","1","60","69","2.5996307679641","-3.1992615359282","0.733572249277228","81.7915345886062","118.869396530886","1"
"1342","cds-hnc","1","60","69","ll","-3.19926153592816","0.733572248467496","81.7915346788893","118.869396530886","mt"
"1343","cds-hnc","1","60","69","ll","-1.85426371389419","0.667217475524842","89.9257021899842","118.869396530886","mt"
"1344","cds-hnc-w","1","60","69","ll","-3.19926153592816","0.733572248467496","81.7915346788893","118.869396530886","mt"
"1345","cds-hnc-w","1","60","69","ll","-1.85426371389419","0.667217475524842","89.9257021899842","118.869396530886","mt"
"1346","mmds-MS","1","60","70","0.882431880839001","0.235136238321998","0.831328056408853","72.1736738432554","118.869396530886","1"
"1347","cds-hnc","1","60","70",NA,NA,NA,NA,NA,NA
"1348","cds-hnc","1","60","70","ll","0.7685435219686","0.894161786070988","67.1019506029712","118.869396530886","mt"
"1349","cds-hnc-w","1","60","70",NA,NA,NA,NA,NA,NA
"1350","cds-hnc-w","1","60","70","ll","0.7685435219686","0.894161786070988","67.1019506029712","118.869396530886","mt"
"1351","mmds-MS","1","60","71","9.61229711744605","-13.2245942348921","0.0462535417100483","1297.19796110155","118.869396530886","2"
"1352","cds-hnc","1","60","71","ll","-9.33450185326513","0.63934548459913","93.8459744305852","118.869396530886","mt"
"1353","cds-hnc","1","60","71","ll","-8.85790954002811","0.576042388690456","104.159001451961","118.869396530886","mt"
"1354","cds-hnc-w","1","60","71","ll","-9.33450185326513","0.63934548459913","93.8459744305852","118.869396530886","mt"
"1355","cds-hnc-w","1","60","71","ll","-8.85790954002811","0.576042388690456","104.159001451961","118.869396530886","mt"
"1356","mmds-MS","1","60","72","7.19500229650533","-12.3900045930107","0.606405070168118","98.9437637507974","118.869396530886","1"
"1357","cds-hnc","1","60","72","ll","-12.3900045930107","0.606405069738579","98.943763820883","118.869396530886","mt"
"1358","cds-hnc","1","60","72","ll","-12.8330815303385","0.502415541678618","119.423057255622","118.869396530886","mt"
"1359","cds-hnc-w","1","60","72","ll","-12.3900045930107","0.606405069738579","98.943763820883","118.869396530886","mt"
"1360","cds-hnc-w","1","60","72","ll","-12.8330815303385","0.502415541678618","119.423057255622","118.869396530886","mt"
"1361","mmds-MS","1","60","73","5.52831581574127","-9.05663163148255","0.642662179640292","93.3616476911445","118.869396530886","1"
"1362","cds-hnc","1","60","73","ll","-9.05663163148256","0.642662177961071","93.3616479350905","118.869396530886","mt"
"1363","cds-hnc","1","60","73","ll","-7.58315271267582","0.773282446941198","77.5913125111483","118.869396530886","mt"
"1364","cds-hnc-w","1","60","73","ll","-9.05663163148256","0.642662177961071","93.3616479350905","118.869396530886","mt"
"1365","cds-hnc-w","1","60","73","ll","-7.58315271267582","0.773282446941198","77.5913125111483","118.869396530886","mt"
"1366","mmds-MS","1","60","74","2.05947732189605","-2.1189546437921","0.757775577991703","79.1791154829972","118.869396530886","1"
"1367","cds-hnc","1","60","74","ll","-2.1189546437921","0.757775577832121","79.1791154996717","118.869396530886","mt"
"1368","cds-hnc","1","60","74","ll","-0.0422505273376679","0.817459380355833","73.3981423931823","118.869396530886","mt"
"1369","cds-hnc-w","1","60","74","ll","-2.1189546437921","0.757775577832121","79.1791154996717","118.869396530886","mt"
"1370","cds-hnc-w","1","60","74","ll","-0.0422505273376679","0.817459380355833","73.3981423931823","118.869396530886","mt"
"1371","mmds-MS","1","60","75","2.7622459602051","-3.52449192041021","0.7269713682831","82.534199581619","118.869396530886","1"
"1372","cds-hnc","1","60","75","ll","-3.52449192041018","0.726971370531154","82.5341993263938","118.869396530886","mt"
"1373","cds-hnc","1","60","75","ll","-3.24632948382571","0.654362582482245","91.6922843790935","118.869396530886","mt"
"1374","cds-hnc-w","1","60","75","ll","-3.52449192041018","0.726971370531154","82.5341993263938","118.869396530886","mt"
"1375","cds-hnc-w","1","60","75","ll","-3.24632948382571","0.654362582482245","91.6922843790935","118.869396530886","mt"
"1376","mmds-MS","1","60","76","4.62460125149528","-3.24920250299056","0.396783617289742","151.215920681993","118.869396530886","2"
"1377","cds-hnc","1","60","76","ll","2.74156232648669","0.739153045718162","81.1739873732157","118.869396530886","mt"
"1378","cds-hrp","1","60","76",NA,NA,NA,NA,NA,NA
"1379","cds-hnc-w","1","60","76",NA,NA,NA,NA,NA,NA
"1380","cds-hrp-w","1","60","76",NA,NA,NA,NA,NA,NA
"1381","mmds-MS","1","60","77","6.13040098287985","-10.2608019657597","0.628712854362202","95.4330734351964","118.869396530886","1"
"1382","cds-hnc","1","60","77","ll","-10.2608019657597","0.62871284653228","95.4330746237096","118.869396530886","mt"
"1383","cds-hnc","1","60","77","ll","-12.4721330479278","0.718923132215279","83.4581575016468","118.869396530886","mt"
"1384","cds-hnc-w","1","60","77","ll","-10.2608019657597","0.62871284653228","95.4330746237096","118.869396530886","mt"
"1385","cds-hnc-w","1","60","77","ll","-12.4489933673935","0.718939766628051","83.4562264950375","118.869396530886","mt"
"1386","mmds-MS","1","60","78","6.32016186172125","-6.64032372344249","0.301629377911211","198.919615905788","118.869396530886","2"
"1387","cds-hnc","1","60","78","ll","-6.09106319538718","0.682619348875381","87.8967174001884","118.869396530886","mt"
"1388","cds-hnc","1","60","78","ll","-3.85877642234565","0.757939833653412","79.1619563135886","118.869396530886","mt"
"1389","cds-hnc-w","1","60","78","ll","-6.09106319538718","0.682619348875381","87.8967174001884","118.869396530886","mt"
"1390","cds-hnc-w","1","60","78","ll","-3.85877642234565","0.757939833653412","79.1619563135886","118.869396530886","mt"
"1391","mmds-MS","1","60","79","11.7398082628768","-17.4796165257536","0.274824054284563","218.321500846042","118.869396530886","2"
"1392","cds-hnc","1","60","79","ll","-15.7776613771044","0.575663023097495","104.227642896282","118.869396530886","mt"
"1393","cds-hnc","1","60","79","ll","-15.1790084938527","0.366761686658336","163.593969006621","118.869396530886","mt"
"1394","cds-hnc-w","1","60","79","ll","-15.7776613771044","0.575663023097495","104.227642896282","118.869396530886","mt"
"1395","cds-hnc-w","1","60","79","ll","-15.1790084938527","0.366761686658336","163.593969006621","118.869396530886","mt"
"1396","mmds-MS","1","60","80","5.43223285282895","-4.8644657056579","0.328551417211044","182.619817955189","118.869396530886","2"
"1397","cds-hnc","1","60","80",NA,NA,NA,NA,NA,NA
"1398","cds-hrp","1","60","80",NA,NA,NA,NA,NA,NA
"1399","cds-hnc-w","1","60","80","ll","2.08053415329439","0.709588340367075","84.5560680562502","118.869396530886","mt"
"1400","cds-hrp-w","1","60","80",NA,NA,NA,NA,NA,NA
"1401","mmds-MS","1","60","81","9.84639552694591","-17.6927910538918","0.560263981309691","107.092374312091","118.869396530886","1"
"1402","cds-hnc","1","60","81","ll","-17.6927910538918","0.560263980300269","107.092374505039","118.869396530886","mt"
"1403","cds-hnc","1","60","81","ll","-18.1600199271674","0.711069727768197","84.3799105163981","118.869396530886","mt"
"1404","cds-hnc-w","1","60","81","ll","-17.6927910538918","0.560263980300269","107.092374505039","118.869396530886","mt"
"1405","cds-hnc-w","1","60","81","ll","-18.1600199271674","0.711069727768197","84.3799105163981","118.869396530886","mt"
"1406","mmds-MS","1","60","82","8.47523801584169","-14.9504760316834","0.582718679012691","102.965637040602","118.869396530886","1"
"1407","cds-hnc","1","60","82","ll","-14.9504760316833","0.582718683343621","102.965636275333","118.869396530886","mt"
"1408","cds-hnc","1","60","82","ll","-14.8277147210901","0.562396450581407","106.686306319984","118.869396530886","mt"
"1409","cds-hnc-w","1","60","82","ll","-14.9504760316833","0.582718683343621","102.965636275333","118.869396530886","mt"
"1410","cds-hnc-w","1","60","82","ll","-14.8277147210901","0.562396450581407","106.686306319984","118.869396530886","mt"
"1411","mmds-MS","1","60","83","11.6016607693944","-17.2033215387889","0.391102887759682","153.412316497309","118.869396530886","2"
"1412","cds-hnc","1","60","83","ll","-16.6506747324076","0.568489544565798","105.54283816394","118.869396530886","mt"
"1413","cds-hnc","1","60","83","ll","-19.2869004805975","0.380953120986259","157.499694042838","118.869396530886","mt"
"1414","cds-hnc-w","1","60","83","ll","-16.6506747324076","0.568489544565798","105.54283816394","118.869396530886","mt"
"1415","cds-hnc-w","1","60","83","ll","-19.2869004805975","0.380953120986259","157.499694042838","118.869396530886","mt"
"1416","mmds-MS","1","60","84","9.00662981122825","-16.0132596224565","0.573700353037544","104.584213139003","118.869396530886","1"
"1417","cds-hnc","1","60","84","ll","-16.0132596224565","0.573700354952022","104.584212789999","118.869396530886","mt"
"1418","cds-hnc","1","60","84","ll","-13.7979840422694","0.623897771678353","96.1696013733042","118.869396530886","mt"
"1419","cds-hnc-w","1","60","84","ll","-16.0132596224565","0.573700354952022","104.584212789999","118.869396530886","mt"
"1420","cds-hnc-w","1","60","84","ll","-13.7979840422694","0.623897771678353","96.1696013733042","118.869396530886","mt"
"1421","mmds-MS","1","60","85","2.16497643171609","-2.32995286343219","0.752735115001983","79.7093144775662","118.869396530886","1"
"1422","cds-hnc","1","60","85","ll","-2.32995286343217","0.75273510587631","79.7093154439103","118.869396530886","mt"
"1423","cds-hrp","1","60","85",NA,NA,NA,NA,NA,NA
"1424","cds-hnc-w","1","60","85","ll","-2.32995286343217","0.75273510587631","79.7093154439103","118.869396530886","mt"
"1425","cds-hrp-w","1","60","85",NA,NA,NA,NA,NA,NA
"1426","mmds-MS","1","60","86","4.29616881258348","-6.59233762516696","0.675183511524967","88.8647293303775","118.869396530886","1"
"1427","cds-hnc","1","60","86","ll","-6.59233762516695","0.675183511586748","88.8647293222462","118.869396530886","mt"
"1428","cds-hnc","1","60","86","ll","-5.00043491458893","0.57025526892622","105.216037921015","118.869396530886","mt"
"1429","cds-hnc-w","1","60","86","ll","-6.59233762516695","0.675183511586748","88.8647293222462","118.869396530886","mt"
"1430","cds-hnc-w","1","60","86","ll","-5.00043491458893","0.57025526892622","105.216037921015","118.869396530886","mt"
"1431","mmds-MS","1","60","87","3.56760426722444","-5.13520853444888","0.697775756162828","85.9875102711347","118.869396530886","1"
"1432","cds-hnc","1","60","87","ll","-5.13520853444805","0.697775831506208","85.9875009865058","118.869396530886","mt"
"1433","cds-hnc","1","60","87","ll","-4.19402045953668","0.599213309281571","100.131287257183","118.869396530886","mt"
"1434","cds-hnc-w","1","60","87","ll","-5.13520853444805","0.697775831506208","85.9875009865058","118.869396530886","mt"
"1435","cds-hnc-w","1","60","87","ll","-4.19402045953668","0.599213309281571","100.131287257183","118.869396530886","mt"
"1436","mmds-MS","1","60","88","12.8039256432979","-19.6078512865958","0.295485911351318","203.055366415297","118.869396530886","2"
"1437","cds-hnc","1","60","88","ll","-14.3227014208264","0.588254884281346","101.99660317874","118.869396530886","mt"
"1438","cds-hnc","1","60","88","ll","-19.1321228066486","0.333080335647408","180.136722521845","118.869396530886","mt"
"1439","cds-hnc-w","1","60","88","ll","-14.3227014208264","0.588254884281346","101.99660317874","118.869396530886","mt"
"1440","cds-hnc-w","1","60","88","ll","-19.1321228066486","0.333080335647408","180.136722521845","118.869396530886","mt"
"1441","mmds-MS","1","60","89","2.21982548511296","-2.43965097022592","0.750180013587279","79.9808031582801","118.869396530886","1"
"1442","cds-hnc","1","60","89","ll","-2.43965097022541","0.750179931177471","79.9808119444424","118.869396530886","mt"
"1443","cds-hnc","1","60","89","ll","-0.69221967503444","0.854145760343971","70.2456217494278","118.869396530886","mt"
"1444","cds-hnc-w","1","60","89","ll","-2.43965097022541","0.750179931177471","79.9808119444424","118.869396530886","mt"
"1445","cds-hnc-w","1","60","89","ll","-0.69221967503444","0.854145760343971","70.2456217494278","118.869396530886","mt"
"1446","mmds-MS","1","60","90","4.83987382362196","-7.67974764724392","0.660081548093863","90.8978597769682","118.869396530886","1"
"1447","cds-hnc","1","60","90","ll","-7.67974764724388","0.660081547819678","90.8978598147253","118.869396530886","mt"
"1448","cds-hnc","1","60","90","ll","-8.37689069554585","0.533633403481814","112.436739545381","118.869396530886","mt"
"1449","cds-hnc-w","1","60","90","ll","-7.67974764724388","0.660081547819678","90.8978598147253","118.869396530886","mt"
"1450","cds-hnc-w","1","60","90","ll","-8.37689069554585","0.533633403481814","112.436739545381","118.869396530886","mt"
"1451","mmds-MS","1","60","91","9.64396087756094","-13.2879217551219","0.109538988017565","547.750176315111","118.869396530886","2"
"1452","cds-hnc","1","60","91","ll","-10.8977441749428","0.621749164683126","96.5019390586217","118.869396530886","mt"
"1453","cds-hnc","1","60","91","ll","-10.7555312017711","0.771566208518112","77.763903262738","118.869396530886","mt"
"1454","cds-hnc-w","1","60","91","ll","-10.8977441749428","0.621749164683126","96.5019390586217","118.869396530886","mt"
"1455","cds-hnc-w","1","60","91","ll","-10.7555312017711","0.771566208518112","77.763903262738","118.869396530886","mt"
"1456","mmds-MS","1","60","92","5.62491164572291","-9.24982329144582","0.640349703565395","93.6988018670528","118.869396530886","1"
"1457","cds-hnc","1","60","92","ll","-9.24982329144576","0.640349699748255","93.6988024255937","118.869396530886","mt"
"1458","cds-hnc","1","60","92","ll","-9.36358812509489","0.487162825767147","123.162106849012","118.869396530886","mt"
"1459","cds-hnc-w","1","60","92","ll","-9.24982329144576","0.640349699748255","93.6988024255937","118.869396530886","mt"
"1460","cds-hnc-w","1","60","92","ll","-9.36358812509489","0.487162825767147","123.162106849012","118.869396530886","mt"
"1461","mmds-MS","1","60","93","5.12387639240765","-8.2477527848153","0.652685616164092","91.9278723386412","118.869396530886","1"
"1462","cds-hnc","1","60","93","ll","-8.2477527848153","0.65268561794841","91.9278720873278","118.869396530886","mt"
"1463","cds-hnc","1","60","93","ll","-6.20186710154183","0.607741796573982","98.726137215241","118.869396530886","mt"
"1464","cds-hnc-w","1","60","93","ll","-8.2477527848153","0.65268561794841","91.9278720873278","118.869396530886","mt"
"1465","cds-hnc-w","1","60","93","ll","-6.20186710154183","0.607741796573982","98.726137215241","118.869396530886","mt"
"1466","mmds-MS","1","60","94","8.31240228690212","-10.6248045738042","0.338777216532998","177.107541687816","118.869396530886","2"
"1467","cds-hnc","1","60","94","ll","-7.79368211207494","0.65857266776287","91.1061192439343","118.869396530886","mt"
"1468","cds-hrp","1","60","94",NA,NA,NA,NA,NA,NA
"1469","cds-hnc-w","1","60","94","ll","-7.79368211207494","0.65857266776287","91.1061192439343","118.869396530886","mt"
"1470","cds-hrp-w","1","60","94",NA,NA,NA,NA,NA,NA
"1471","mmds-MS","1","60","95","11.3957599449217","-16.7915198898433","0.190701434441678","314.627942761226","118.869396530886","2"
"1472","cds-hnc","1","60","95","ll","-15.4817897013731","0.578156635434989","103.778104967796","118.869396530886","mt"
"1473","cds-hnc","1","60","95","ll","-13.8928998764368","0.792702461425423","75.6904424039621","118.869396530886","mt"
"1474","cds-hnc-w","1","60","95","ll","-15.4817897013731","0.578156635434989","103.778104967796","118.869396530886","mt"
"1475","cds-hnc-w","1","60","95","ll","-13.8928998764368","0.792702461425423","75.6904424039621","118.869396530886","mt"
"1476","mmds-MS","1","60","96","7.40413147131335","-12.8082629426267","0.602324308263732","99.6141101675886","118.869396530886","1"
"1477","cds-hnc","1","60","96","ll","-12.808262942625","0.602324219560125","99.6141248376459","118.869396530886","mt"
"1478","cds-hnc","1","60","96","ll","-10.5107473657072","0.658780760549064","91.0773410413393","118.869396530886","mt"
"1479","cds-hnc-w","1","60","96","ll","-12.808262942625","0.602324219560125","99.6141248376459","118.869396530886","mt"
"1480","cds-hnc-w","1","60","96","ll","-10.5107473657072","0.658780760549064","91.0773410413393","118.869396530886","mt"
"1481","mmds-MS","1","60","97","7.05667990416877","-12.1133598083375","0.609154531262243","98.4971742320831","118.869396530886","1"
"1482","cds-hnc","1","60","97","ll","-12.1133598083375","0.609154534522685","98.4971737048863","118.869396530886","mt"
"1483","cds-hnc","1","60","97","ll","-10.1841050439911","0.652314060929079","91.9802340525101","118.869396530886","mt"
"1484","cds-hnc-w","1","60","97","ll","-12.1133598083375","0.609154534522685","98.4971737048863","118.869396530886","mt"
"1485","cds-hnc-w","1","60","97","ll","-10.1841050439911","0.652314060929079","91.9802340525101","118.869396530886","mt"
"1486","mmds-MS","1","60","98","10.0160912717619","-14.0321825435239","0.24725512845712","242.664329651732","118.869396530886","2"
"1487","cds-hnc","1","60","98","ll","-10.6002919544799","0.624967820054758","96.0049430940987","118.869396530886","mt"
"1488","cds-hnc","1","60","98","ll","-10.6196660849084","0.39539335715137","151.747617694624","118.869396530886","mt"
"1489","cds-hnc-w","1","60","98","ll","-10.6002919544799","0.624967820054758","96.0049430940987","118.869396530886","mt"
"1490","cds-hnc-w","1","60","98","ll","-10.6196660849084","0.39539335715137","151.747617694624","118.869396530886","mt"
"1491","mmds-MS","1","60","99","8.17042827882372","-14.3408565576474","0.588092473214634","102.024771158909","118.869396530886","1"
"1492","cds-hnc","1","60","99","ll","-14.3408565576474","0.588092472022989","102.024771365641","118.869396530886","mt"
"1493","cds-hnc","1","60","99","ll","-11.9590974722542","0.606409924416097","98.9429717163239","118.869396530886","mt"
"1494","cds-hnc-w","1","60","99","ll","-14.3408565576474","0.588092472022989","102.024771365641","118.869396530886","mt"
"1495","cds-hnc-w","1","60","99","ll","-11.9590974722542","0.606409924416097","98.9429717163239","118.869396530886","mt"
"1496","mmds-MS","1","60","100","4.59239404067773","-7.18478808135545","0.666792400100227","89.9830291871671","118.869396530886","1"
"1497","cds-hnc","1","60","100","ll","-7.18478808135434","0.666792320751372","89.9830398952245","118.869396530886","mt"
"1498","cds-hnc","1","60","100","ll","-7.82100974698548","0.760433135370502","78.9024007623846","118.869396530886","mt"
"1499","cds-hnc-w","1","60","100","ll","-7.18478808135434","0.666792320751372","89.9830398952245","118.869396530886","mt"
"1500","cds-hnc-w","1","60","100","ll","-7.82100974698548","0.760433135370502","78.9024007623846","118.869396530886","mt"
"1501","mmds-MS","1","60","101","1.1567840472452","-0.313568094490404","0.810204565771029","74.0553713652565","118.869396530886","1"
"1502","cds-hnc","1","60","101","ll","-0.313568094490109","0.810204624029088","74.0553660402781","118.869396530886","mt"
"1503","cds-hnc","1","60","101","ll","1.15065749519111","0.858958483036932","69.852037304369","118.869396530886","mt"
"1504","cds-hnc-w","1","60","101","ll","-0.313568094490109","0.810204624029088","74.0553660402781","118.869396530886","mt"
"1505","cds-hnc-w","1","60","101","ll","1.15065749519111","0.858958483036932","69.852037304369","118.869396530886","mt"
"1506","mmds-MS","1","60","102","4.01916861775865","-6.0383372355173","0.68342073263053","87.7936491172226","118.869396530886","1"
"1507","cds-hnc","1","60","102","ll","-6.03833723551641","0.68342080840129","87.7936393835542","118.869396530886","mt"
"1508","cds-hnc","1","60","102","ll","-4.74127059289256","0.856007195215934","70.0928687694787","118.869396530886","mt"
"1509","cds-hnc-w","1","60","102","ll","-6.03833723551641","0.68342080840129","87.7936393835542","118.869396530886","mt"
"1510","cds-hnc-w","1","60","102","ll","-4.74127059289256","0.856007195215934","70.0928687694787","118.869396530886","mt"
"1511","mmds-MS","1","60","103","8.24662070402663","-10.4932414080533","0.315582543164911","190.124584833725","118.869396530886","2"
"1512","cds-hnc","1","60","103","ll","-6.88354208750903","0.671007912248339","89.4177235540467","118.869396530886","mt"
"1513","cds-hnc","1","60","103","ll","-7.82589444749863","0.429680292096225","139.638706041848","118.869396530886","mt"
"1514","cds-hnc-w","1","60","103","ll","-6.88354208750903","0.671007912248339","89.4177235540467","118.869396530886","mt"
"1515","cds-hrp-w","1","60","103",NA,NA,NA,NA,NA,NA
"1516","mmds-MS","1","60","104","11.3779280419126","-20.7558560838252","0.537928525711629","111.538981727406","118.869396530886","1"
"1517","cds-hnc","1","60","104","ll","-20.7558560838252","0.537928528559447","111.538981136914","118.869396530886","mt"
"1518","cds-hnc","1","60","104","ll","-18.4662367988339","0.576916351831325","104.001212324005","118.869396530886","mt"
"1519","cds-hnc-w","1","60","104","ll","-20.7558560838252","0.537928528559447","111.538981136914","118.869396530886","mt"
"1520","cds-hnc-w","1","60","104","ll","-18.4662367988339","0.576916351831325","104.001212324005","118.869396530886","mt"
"1521","mmds-MS","1","60","105","0.329140968529539","1.34171806294092","0.891908328602097","67.2714875238793","118.869396530886","1"
"1522","cds-hnc","1","60","105",NA,NA,NA,NA,NA,NA
"1523","cds-hrp","1","60","105",NA,NA,NA,NA,NA,NA
"1524","cds-hnc-w","1","60","105",NA,NA,NA,NA,NA,NA
"1525","cds-hrp-w","1","60","105",NA,NA,NA,NA,NA,NA
"1526","mmds-MS","1","60","106","10.142733232604","-14.285466465208","0.196885405763699","304.745797522503","118.869396530886","2"
"1527","cds-hnc","1","60","106","ll","-11.5535865540757","0.614846769192251","97.585289549174","118.869396530886","mt"
"1528","cds-hnc","1","60","106","ll","-9.42383373489981","0.466451124337285","128.63084012338","118.869396530886","mt"
"1529","cds-hnc-w","1","60","106","ll","-11.5535865540757","0.614846769192251","97.585289549174","118.869396530886","mt"
"1530","cds-hnc-w","1","60","106","ll","-9.42383373489981","0.466451124337285","128.63084012338","118.869396530886","mt"
"1531","mmds-MS","1","60","107","3.40586865048652","-4.81173730097303","0.703233870217138","85.320122566727","118.869396530886","1"
"1532","cds-hnc","1","60","107","ll","-4.811737300973","0.70323387046264","85.3201225369414","118.869396530886","mt"
"1533","cds-hrp","1","60","107",NA,NA,NA,NA,NA,NA
"1534","cds-hnc-w","1","60","107","ll","-4.811737300973","0.70323387046264","85.3201225369414","118.869396530886","mt"
"1535","cds-hrp-w","1","60","107",NA,NA,NA,NA,NA,NA
"1536","mmds-MS","1","60","108","6.34425905086034","-10.6885181017207","0.624007214828024","96.1527344143545","118.869396530886","1"
"1537","cds-hnc","1","60","108","ll","-10.6885181017193","0.62400729874107","96.1527214842672","118.869396530886","mt"
"1538","cds-hnc","1","60","108","ll","-9.10843740692449","0.582796892001239","102.951818761368","118.869396530886","mt"
"1539","cds-hnc-w","1","60","108","ll","-10.6885181017193","0.62400729874107","96.1527214842672","118.869396530886","mt"
"1540","cds-hnc-w","1","60","108","ll","-9.10843740692449","0.582796892001239","102.951818761368","118.869396530886","mt"
"1541","mmds-MS","1","60","109","2.61654378703355","-3.23308757406711","0.732872628484732","81.8696150844853","118.869396530886","1"
"1542","cds-hnc","1","60","109","ll","-3.23308757406709","0.73287262591211","81.8696153718744","118.869396530886","mt"
"1543","cds-hnc","1","60","109","ll","-2.56720764509248","0.652307386458764","91.9811752028857","118.869396530886","mt"
"1544","cds-hnc-w","1","60","109","ll","-3.23308757406709","0.73287262591211","81.8696153718744","118.869396530886","mt"
"1545","cds-hnc-w","1","60","109","ll","-2.56720764509248","0.652307386458764","91.9811752028857","118.869396530886","mt"
"1546","mmds-MS","1","60","110","7.19738884083115","-12.3947776816623","0.606357990524858","98.9514460724177","118.869396530886","1"
"1547","cds-hnc","1","60","110","ll","-12.3947776816623","0.606357988184611","98.9514464543221","118.869396530886","mt"
"1548","cds-hnc","1","60","110","ll","-13.0478804487408","0.431526994131781","139.041127938516","118.869396530886","mt"
"1549","cds-hnc-w","1","60","110","ll","-12.3947776816623","0.606357988184611","98.9514464543221","118.869396530886","mt"
"1550","cds-hnc-w","1","60","110","ll","-13.0478804487408","0.431526994131781","139.041127938516","118.869396530886","mt"
"1551","mmds-MS","1","60","111","5.92492106040623","-9.84984212081247","0.633352618592352","94.7339574175158","118.869396530886","1"
"1552","cds-hnc","1","60","111","ll","-9.84984212081245","0.633352617167745","94.7339576306019","118.869396530886","mt"
"1553","cds-hnc","1","60","111","ll","-8.09217775465343","0.673675953931916","89.0635915528964","118.869396530886","mt"
"1554","cds-hnc-w","1","60","111","ll","-9.84984212081245","0.633352617167745","94.7339576306019","118.869396530886","mt"
"1555","cds-hnc-w","1","60","111","ll","-8.09217775465343","0.673675953931916","89.0635915528964","118.869396530886","mt"
"1556","mmds-MS","1","60","112","4.71860516292084","-7.43721032584168","0.663337567752334","90.4516839040267","118.869396530886","1"
"1557","cds-hnc","1","60","112","ll","-7.43721032584168","0.663337571090096","90.4516834488947","118.869396530886","mt"
"1558","cds-hnc","1","60","112","ll","-5.14256567549715","0.826367157900959","72.6069513125437","118.869396530886","mt"
"1559","cds-hnc-w","1","60","112","ll","-7.43721032584168","0.663337571090096","90.4516834488947","118.869396530886","mt"
"1560","cds-hnc-w","1","60","112","ll","-5.14256567549715","0.826367157900959","72.6069513125437","118.869396530886","mt"
"1561","mmds-MS","1","60","113","1.64810155716121","-1.29620311432242","0.779271774877199","76.9949611089854","118.869396530886","1"
"1562","cds-hnc","1","60","113","ll","-1.29620311432203","0.779271721500995","76.994966382754","118.869396530886","mt"
"1563","cds-hrp","1","60","113",NA,NA,NA,NA,NA,NA
"1564","cds-hnc-w","1","60","113","ll","-1.29620311432203","0.779271721500995","76.994966382754","118.869396530886","mt"
"1565","cds-hrp-w","1","60","113",NA,NA,NA,NA,NA,NA
"1566","mmds-MS","1","60","114","12.0502778420342","-18.1005556840684","0.335337579863839","178.924175525936","118.869396530886","2"
"1567","cds-hnc","1","60","114",NA,NA,NA,NA,NA,NA
"1568","cds-hnc","1","60","114","ll","-18.0453802123296","0.319583633964888","187.744282320139","118.869396530886","mt"
"1569","cds-hnc-w","1","60","114","ll","-9.00495591759446","0.620472736315873","96.7004615807243","118.869396530886","mt"
"1570","cds-hnc-w","1","60","114","ll","-18.0453802123296","0.319583633964888","187.744282320139","118.869396530886","mt"
"1571","mmds-MS","1","60","115","3.1186322871787","-4.2372645743574","0.713398924347657","84.1044161299583","118.869396530886","1"
"1572","cds-hnc","1","60","115","ll","-4.23726457435671","0.713399007289345","84.1044063517526","118.869396530886","mt"
"1573","cds-hnc","1","60","115","ll","-2.61487980691915","0.737151999817915","81.3943393151218","118.869396530886","mt"
"1574","cds-hnc-w","1","60","115","ll","-4.23726457435671","0.713399007289345","84.1044063517526","118.869396530886","mt"
"1575","cds-hnc-w","1","60","115","ll","-2.61487980691915","0.737151999817915","81.3943393151218","118.869396530886","mt"
"1576","mmds-MS","1","60","116","8.63384204789975","-15.2676840957995","0.579981829206043","103.451516889997","118.869396530886","1"
"1577","cds-hnc","1","60","116","ll","-15.2676840957976","0.579981916062564","103.451501397377","118.869396530886","mt"
"1578","cds-hnc","1","60","116","ll","-15.6618747130339","0.427039721418263","140.502152354191","118.869396530886","mt"
"1579","cds-hnc-w","1","60","116","ll","-15.2676840957976","0.579981916062564","103.451501397377","118.869396530886","mt"
"1580","cds-hnc-w","1","60","116","ll","-15.6618747130339","0.427039721418263","140.502152354191","118.869396530886","mt"
"1581","mmds-MS","1","60","117","10.2065373473271","-18.4130746946541","0.554776924141692","108.151578389507","118.869396530886","1"
