"","V1","V2","V3","V4","V5","V6","V7","V8"
"res","30","1","-16.3966254129406","0.44493038807482","67.4262779168843","77.1391345052136","1","cov"
"","30","1","-9.03244575671238","0.542748888918629","55.2741804037074","77.1391345052136","1","nocov"
"","30","1","-9.03244575671116","0.542750025114308","55.2740646924553","77.1391345052136",NA,"hn+cos"
"","30","1","-9.83372181965629","0.442949054003436","67.7278791519155","77.1391345052136",NA,"hr+poly"
"","30","1","-16.3966979861408","0.444932012891383","67.4260316875055","77.1391345052136",NA,"hn+cos+cov1"
"","30","1","-15.6931240613493","0.572454840919468","52.4058805264263","77.1391345052136",NA,"hr+poly+cov1"
"","30","1","-16.3966979861408","0.444932012891383","67.4260316875055","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","1","-15.6931240613493","0.572454840919468","52.4058805264263","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","2","-20.0022352457018","0.407645867267751","73.5932887068749","77.1391345052136","1","cov"
"","30","2","-15.8727905564566","0.463764227769972","64.688042336202","77.1391345052136","1","nocov"
"","30","2","-15.8727905564566","0.463767838002112","64.687538767756","77.1391345052136",NA,"hn+cos"
"","30","2","-16.1140847753635","0.341080632755052","87.9557416018533","77.1391345052136",NA,"hr+poly"
"","30","2","-20.0024275779615","0.407647597632182","73.5929763213491","77.1391345052136",NA,"hn+cos+cov1"
"","30","2","-20.0196767663913","0.279464504350217","107.348158828804","77.1391345052136",NA,"hr+poly+cov1"
"","30","2","-20.0024275779615","0.407647597632182","73.5929763213491","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","2","-20.0196767663913","0.279464504350217","107.348158828804","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","3","-19.5506887108255","0.414776039836376","72.32818947747","77.1391345052136","1","cov"
"","30","3","-9.05075104300032","0.542490497961273","55.3005077743161","77.1391345052136","1","nocov"
"","30","3","-9.05075104300031","0.542491468719892","55.3004088171018","77.1391345052136",NA,"hn+cos"
"","30","3","-7.56895846562407","0.584372279384133","51.3371374008651","77.1391345052136",NA,"hr+poly"
"","30","3","-19.5508989401486","0.414759910334136","72.3310022317047","77.1391345052136",NA,"hn+cos+cov1"
"","30","3","-19.0907275308663","0.518082323456258","57.9058551927856","77.1391345052136",NA,"hr+poly+cov1"
"","30","3","-19.5508989401486","0.414759910334136","72.3310022317047","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","3","-19.0907275308663","0.518082323456258","57.9058551927856","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","4","-18.368762637518","0.425639409735531","70.4821952897651","77.1391345052136","1","cov"
"","30","4","-14.0455852568371","0.17387048621638","172.542221815986","77.1391345052136","2","nocov"
"","30","4","-9.65727942887016","0.534113521964552","56.1678346761478","77.1391345052136",NA,"hn+cos"
"","30","4","-13.1846988707547","0.215597119430898","139.148426839791","77.1391345052136",NA,"hr+poly"
"","30","4","-18.368985799073","0.425635472260273","70.4828473075552","77.1391345052136",NA,"hn+cos+cov1"
"","30","4","-18.5255443533645","0.269682504698422","111.241921434793","77.1391345052136",NA,"hr+poly+cov1"
"","30","4","-18.368985799073","0.425635472260273","70.4828473075552","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","4","-18.5255443533645","0.269682504698422","111.241921434793","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","5","-6.30936981794626","0.558727057702896","53.6934798241909","77.1391345052136","1","cov"
"","30","5","-7.47086058685452","0.566156634725472","52.9888694398979","77.1391345052136","1","nocov"
"","30","5","-7.4708605868545","0.566160272214925","52.9885289948628","77.1391345052136",NA,"hn+cos"
"","30","5","-5.71127799281376","0.647838117382871","46.3078648740115","77.1391345052136",NA,"hr+poly"
"","30","5","-6.30928687050395","0.558744654446296","53.6917888364039","77.1391345052136",NA,"hn+cos+cov1"
"","30","5","-4.12768366129022","0.574734072142455","52.1980537680114","77.1391345052136",NA,"hr+poly+cov1"
"","30","5","-6.30928687050395","0.558744654446296","53.6917888364039","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","5","-4.12768366129022","0.574734072142455","52.1980537680114","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","6","-21.2534294308653","0.401971490378265","74.6321585438044","77.1391345052136","1","cov"
"","30","6","-23.1592846380791","0.402792687951184","74.4800014930654","77.1391345052136","1","nocov"
"","30","6","-23.1592846380791","0.402794813728509","74.4796084197364","77.1391345052136",NA,"hn+cos"
"","30","6","-21.9585559467133","0.382618754061511","78.4070296647746","77.1391345052136",NA,"hr+poly"
"","30","6","-21.2535597277692","0.401981967206655","74.6302134109844","77.1391345052136",NA,"hn+cos+cov1"
"","30","6","-20.6465803746026","0.362775912530481","82.6956778655455","77.1391345052136",NA,"hr+poly+cov1"
"","30","6","-21.2535597277692","0.401981967206655","74.6302134109844","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","6","-20.6465803746026","0.362775912530481","82.6956778655455","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","7","-15.2977454276193","0.447728186219657","67.0049394327877","77.1391345052136","1","cov"
"","30","7","-7.08439129591214","0.32207894573524","93.144865248848","77.1391345052136","2","nocov"
"","30","7","-6.85471996025472","0.576236693443783","52.0619397225643","77.1391345052136",NA,"hn+cos"
"","30","7","-8.90751383884893","0.354899108853439","84.5310660173817","77.1391345052136",NA,"hr+poly"
"","30","7","-10.3948685058109","0.518149308978759","57.8983692154838","77.1391345052136",NA,"hn+cos+cov1"
"","30","7","-15.1310543665875","0.336139434864103","89.2486774487754","77.1391345052136",NA,"hr+poly+cov1"
"","30","7","-10.3948685058109","0.518149308978759","57.8983692154838","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","7","-15.1310543665875","0.336139434864103","89.2486774487754","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","8","-9.16062000167183","0.520400429791498","57.6479154946504","77.1391345052136","1","cov"
"","30","8","-9.42401278046635","0.537294350004434","55.8353163396422","77.1391345052136","1","nocov"
"","30","8","-9.42401278046633","0.537293701029917","55.835383780778","77.1391345052136",NA,"hn+cos"
"","30","8","-11.3249536208507","0.772360923840451","38.8419443216125","77.1391345052136",NA,"hr+poly"
"","30","8","-9.16076567155067","0.520422159499501","57.6455084634588","77.1391345052136",NA,"hn+cos+cov1"
"","30","8",NA,NA,NA,NA,NA,"hr+poly+cov1"
"","30","8","-9.16076567155067","0.520422159499501","57.6455084634588","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","8",NA,NA,NA,NA,NA,"hr+poly+cov1-width"
"res","30","9","-16.2526173492981","0.448907022413114","66.8289835136328","77.1391345052136","1","cov"
"","30","9","-12.0019473811948","0.130640107495249","229.638512821119","77.1391345052136","2","nocov"
"","30","9","-10.6611954477433","0.520980420363725","57.583737943655","77.1391345052136",NA,"hn+cos"
"","30","9","-11.1289506090563","0.260150017071813","115.318078152263","77.1391345052136",NA,"hr+poly"
"","30","9","-16.2528038883895","0.448895312787372","66.8307267761784","77.1391345052136",NA,"hn+cos+cov1"
"","30","9","-12.8276428202405","0.486479703283522","61.667526512439","77.1391345052136",NA,"hr+poly+cov1"
"","30","9","-16.2528038883895","0.448895312787372","66.8307267761784","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","9","-12.8276428202405","0.486479703283522","61.667526512439","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","10","-11.3135426830605","0.531091281179155","56.4874647036052","77.1391345052136","1","cov"
"","30","10","-8.8259336797438","0.545687731998016","54.976497071239","77.1391345052136","1","nocov"
"","30","10","-8.82593367974379","0.545689608108411","54.9763080590678","77.1391345052136",NA,"hn+cos"
"","30","10","-7.38005961207645","0.465419378734539","64.4579950271281","77.1391345052136",NA,"hr+poly"
"","30","10","-11.2263046627779","0.504195863443059","59.5006864894441","77.1391345052136",NA,"hn+cos+cov1"
"","30","10","-6.92203756349616","0.428811753620222","69.9607689078634","77.1391345052136",NA,"hr+poly+cov1"
"","30","10","-11.2263046627779","0.504195863443059","59.5006864894441","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","10","-6.92203756349616","0.428811753620222","69.9607689078634","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","11","-14.7580587952295","0.456185931828127","65.7626592731116","77.1391345052136","1","cov"
"","30","11","-15.2376759267703","0.469959119451456","63.8353396248944","77.1391345052136","1","nocov"
"","30","11","-15.2376759267703","0.469963067319922","63.8348033837685","77.1391345052136",NA,"hn+cos"
"","30","11","-13.9579050837317","0.337364201029129","88.9246692698426","77.1391345052136",NA,"hr+poly"
"","30","11","-14.7580677796509","0.4561872424954","65.7624703310341","77.1391345052136",NA,"hn+cos+cov1"
"","30","11","-12.5976069186273","0.359867344053842","83.3640520477776","77.1391345052136",NA,"hr+poly+cov1"
"","30","11","-14.7580677796509","0.4561872424954","65.7624703310341","77.1391345052136",NA,"hn+cos+cov1-width"
"","30","11","-12.5976069186273","0.359867344053842","83.3640520477776","77.1391345052136",NA,"hr+poly+cov1-width"
"res","30","12","-23.5247471845805","0.379964209938015","78.9548047298824","77.1391345052136","1","cov"
"","30","12","-22.4932902949726","0.407747036700091","73.5750288776858","77.1391345052136","1","nocov"
"","30","12","-22.4932902949725","0.407748892019829","73.5746941000666","77.1391345052136",NA,"hn+cos"
