"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","30","1","-9.81789143919976","0.525326089225319","57.1073864696879","71.055189789778",NA,"hn+cov1"
"2","30","1","-8.02970103549911","0.670700251373864","44.729370443127","71.055189789778",NA,"hr+cov1"
"3","30","2","-13.9529826726385","0.471299826342122","63.6537471970606","71.055189789778",NA,"hn+cov1"
"4","30","2","-9.84783681041276","0.767660328954703","39.0797842072287","71.055189789778",NA,"hr+cov1"
"5","60","1","-25.6586726022595","0.499254999504875","120.179066928731","142.110379579556",NA,"hn+cov1"
"6","60","1","-23.3768033893945","0.403843167655254","148.572527172775","142.110379579556",NA,"hr+cov1"
"7","60","2","-8.2537373112222","0.628736353854224","95.4295065526166","142.110379579556",NA,"hn+cov1"
"8","60","2","-7.82888642799035","0.437905932282303","137.015727755248","142.110379579556",NA,"hr+cov1"
"9","120","1","-22.2922781482301","0.627609043928646","191.201833626927","284.220759159112",NA,"hn+cov1"
"10","120","1","-21.3114220923237","0.458735929314289","261.588404857178","284.220759159112",NA,"hr+cov1"
"11","120","2","-41.0424669380125","0.544912083595666","220.219010758884","284.220759159112",NA,"hn+cov1"
"12","120","2","-41.3615072738301","0.660340441008136","181.72444476791","284.220759159112",NA,"hr+cov1"
"13","480","1","-141.187446573624","0.573529549352571","836.922876147965","1136.88303663645",NA,"hn+cov1"
"14","480","1","-144.838881994757","0.504940120804453","950.607765600563","1136.88303663645",NA,"hr+cov1"
"15","480","2","-137.784654611554","0.581959281947589","824.799972935612","1136.88303663645",NA,"hn+cov1"
"16","480","2","-137.959727889381","0.418256732273093","1147.62049947493","1136.88303663645",NA,"hr+cov1"
"17","960","1","-250.071282091746","0.600154313501881","1599.58860313514","2273.7660732729",NA,"hn+cov1"
"18","960","1","-258.69011747024","0.459297955034486","2090.14647132038","2273.7660732729",NA,"hr+cov1"
"19","960","2","-225.558457031747","0.618176094549333","1552.95555500228","2273.7660732729",NA,"hn+cov1"
"20","960","2","-252.989321934243","0.442019114715625","2171.85177753595","2273.7660732729",NA,"hr+cov1"
