"1","mmds-MS","1","30","2","1.96485105311499","-1.92970210622997","0.686169007727355","43.7210070145289","59.9999969105444","1"
"2","cds-hnc","1","30","2","ll","-1.92970210622995","0.686169590415109","43.7209698871252","59.9999969105444","mt"
"3","cds-hrp","1","30","2","ll","-0.818089465372122","0.800635046030288","37.4702558284778","59.9999969105444","mt"
"4","cds-hnc-w","1","30","2","ll","-1.92970210622995","0.686169590415109","43.7209698871252","59.9999969105444","mt"
"5","cds-hrp-w","1","30","2","ll","-0.818089465372122","0.800635046030288","37.4702558284778","59.9999969105444","mt"
"1","mmds-MS","1","30","1","1.24065538328596","-0.481310766571913","0.738556600566829","40.6197710195475","59.9999969105444","1"
"2","cds-hnc","1","30","1","ll","-0.481310766571889","0.738551685535344","40.6200413424746","59.9999969105444","mt"
"3","cds-hrp","1","30","1","ll","0.97533538676617","0.640754298375324","46.8198185733081","59.9999969105444","mt"
"4","cds-hnc-w","1","30","1","ll","-0.481310766571889","0.738551685535344","40.6200413424746","59.9999969105444","mt"
"5","cds-hrp-w","1","30","1","ll","0.97533538676617","0.640754298375324","46.8198185733081","59.9999969105444","mt"
"1","mmds-MS","1","30","3","3.62816162714303","-5.25632325428605","0.605199154985167","49.5704591668429","59.9999969105444","1"
"2","cds-hnc","1","30","3","ll","-5.25632325428524","0.605194579914038","49.5708339031411","59.9999969105444","mt"
"3","cds-hrp","1","30","3","ll","-5.7367081197573","0.393766299456156","76.1873223824233","59.9999969105444","mt"
"4","cds-hnc-w","1","30","3","ll","-5.25632325428524","0.605194579914038","49.5708339031411","59.9999969105444","mt"
"5","cds-hrp-w","1","30","3","ll","-5.7367081197573","0.393766299456156","76.1873223824233","59.9999969105444","mt"
"1","mmds-MS","1","30","5","2.38237291200114","-2.76474582400227","0.662091527312571","45.3109559063079","59.9999969105444","1"
"2","cds-hnc","1","30","5","ll","-2.76474582400226","0.662091550654589","45.3109543088716","59.9999969105444","mt"
"3","cds-hrp","1","30","5","ll","-1.11280565991738","0.582287475016479","51.5209433264059","59.9999969105444","mt"
"4","cds-hnc-w","1","30","5","ll","-2.76474582400226","0.662091550654589","45.3109543088716","59.9999969105444","mt"
"5","cds-hrp-w","1","30","5","ll","-1.11280565991738","0.582287475016479","51.5209433264059","59.9999969105444","mt"
"1","mmds-MS","1","30","4","16.4711911800464","-26.9423823600929","0.0444703689244092","674.606501488531","59.9999969105444","2"
"2","cds-hnc","1","30","4","ll","-13.8006821411246","0.484677271620264","61.896857469117","59.9999969105444","mt"
"3","cds-hrp","1","30","4","ll","-24.8599543781562","0.0680201630415183","441.045693784776","59.9999969105444","mt"
"4","cds-hnc-w","1","30","4","ll","-13.8006821411246","0.484677271620264","61.896857469117","59.9999969105444","mt"
"5","cds-hrp-w","1","30","4","ll","-24.8599543781562","0.0680201630415183","441.045693784776","59.9999969105444","mt"
"1","mmds-MS","1","30","7","2.08365471684891","-2.16730943369782","0.678965900167158","44.1848404943667","59.9999969105444","1"
"2","cds-hnc","1","30","7","ll","-2.1673094336978","0.678966458232209","44.1848041773809","59.9999969105444","mt"
"3","cds-hrp","1","30","7","ll","-9.33188504669999","0.749515263161643","40.025869351149","59.9999969105444","mt"
"4","cds-hnc-w","1","30","7","ll","-2.1673094336978","0.678966458232209","44.1848041773809","59.9999969105444","mt"
"5","cds-hrp-w","1","30","7","ll","-9.33188504669999","0.749515263161643","40.025869351149","59.9999969105444","mt"
"1","mmds-MS","1","30","6","6.74506859610309","-11.4901371922062","0.510754825481376","58.7365963145343","59.9999969105444","1"
"2","cds-hnc","1","30","6","ll","-11.4901371922062","0.510750020539735","58.7371488860588","59.9999969105444","mt"
"3","cds-hrp","1","30","6","ll","-10.256298861136","0.52386377737006","57.2667958655363","59.9999969105444","mt"
"4","cds-hnc-w","1","30","6","ll","-11.4901371922062","0.510750020539735","58.7371488860588","59.9999969105444","mt"
"5","cds-hrp-w","1","30","6","ll","-10.256298861136","0.52386377737006","57.2667958655363","59.9999969105444","mt"
"1","mmds-MS","1","30","8","3.39621622836795","-4.7924324567359","0.614524005296201","48.8182719331525","59.9999969105444","1"
"2","cds-hnc","1","30","8","ll","-4.79243245673589","0.614519812020024","48.8186050525942","59.9999969105444","mt"
"3","cds-hrp","1","30","8","ll","-4.15823920599857","0.789406079932163","38.0032542979375","59.9999969105444","mt"
"4","cds-hnc-w","1","30","8","ll","-4.79243245673589","0.614519812020024","48.8186050525942","59.9999969105444","mt"
"5","cds-hrp-w","1","30","8","ll","-4.15823920599857","0.789406079932163","38.0032542979375","59.9999969105444","mt"
"1","mmds-MS","1","30","10","1.86001876054858","-1.72003752109717","0.692791058820296","43.3030992794348","59.9999969105444","1"
"2","cds-hnc","1","30","10","ll","-1.72003752109715","0.692791447395442","43.30307499145","59.9999969105444","mt"
"3","cds-hrp","1","30","10","ll","-1.13968737110657","0.801965782830305","37.4080797987711","59.9999969105444","mt"
"4","cds-hnc-w","1","30","10","ll","-1.72003752109715","0.692791447395442","43.30307499145","59.9999969105444","mt"
"5","cds-hrp-w","1","30","10","ll","-1.13968737110657","0.801965782830305","37.4080797987711","59.9999969105444","mt"
"1","mmds-MS","1","30","12","5.81189744956044","-9.62379489912089","0.534568398505352","56.120040174241","59.9999969105444","1"
"2","cds-hnc","1","30","12","ll","-9.62379489912087","0.534566893609421","56.1201981616156","59.9999969105444","mt"
"3","cds-hrp","1","30","12","ll","-10.6591273192366","0.296074765168058","101.325757982013","59.9999969105444","mt"
