"1" "mmds-MS" "2" "480" "2" "54.5324336951706" "-103.064867390341" "0.492123588227305" "975.364748779924" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "2" "ll" "-90.5399478389797" "0.636611179827266" "753.992413595753" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "2" "ll" "-106.641790527741" "0.479706207271574" "1000.61244304112" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "1" "45.9083191265957" "-85.8166382531915" "0.508280809399936" "944.35987179346" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "1" "ll" "-78.2429548406383" "0.655479472575915" "732.288378328138" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "1" "ll" "-87.335402672042" "0.526646750296969" "911.426871483275" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "6" "34.6721264555744" "-63.3442529111488" "0.212729545742951" "2256.38614666155" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "6" "ll" "-59.639422161573" "0.688578217993747" "697.088562282054" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "6" "ll" "-60.4698930719868" "0.605625529010956" "792.568967136979" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "3" "48.1205860764757" "-90.2411721529513" "0.533344584681042" "899.981013751281" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "3" "ll" "-82.12516265167" "0.649302713779031" "739.254572349366" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "3" "ll" "-92.39781023669" "0.532606620666322" "901.228000882701" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "4" "53.8571166409911" "-101.714233281982" "0.51748403989284" "927.564838713476" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "4" "ll" "-81.7429159328027" "0.649901279708814" "738.57371109511" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "4" "ll" "-100.782923111916" "0.492148270185423" "975.315832806147" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "12" "38.8295485639495" "-75.659097127899" "0.659714322706983" "727.587659504546" "959.999990942926" "1"
"2" "cds-hnc" "2" "480" "12" "ll" "-75.6590971278989" "0.659714326096344" "727.587655766477" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "12" "ll" "-74.7164931244032" "0.599567479844801" "800.577109559459" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "8" "46.6684131648626" "-87.3368263297253" "0.473002942192238" "1014.79284203885" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "8" "ll" "-74.3363766931668" "0.661922674726858" "725.160231439529" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "8" "ll" "-89.2465485374658" "0.512040976550294" "937.424975699876" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "18" "48.3603941919078" "-90.7207883838157" "0.551819048997367" "869.850362853802" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "18" "ll" "-89.1259494865936" "0.638681612426032" "751.54817464796" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "18" "ll" "-92.1774857392748" "0.579162915250786" "828.782346660013" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "9" "61.622275896506" "-117.244551793012" "0.453585436383545" "1058.23503467629" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "9" "ll" "-106.334249847018" "0.614968819514141" "780.527377598146" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "9" "ll" "-117.666800036704" "0.46910843153225" "1023.21759264095" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "10" "59.5307621789264" "-113.061524357853" "0.489151076594083" "981.291921796838" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "10" "ll" "-96.3293950792884" "0.628374628968119" "763.875525637037" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "10" "ll" "-114.280348936176" "0.492858736032907" "973.909895284785" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "14" "45.9696747467184" "-85.9393494934368" "0.53931573503768" "890.016680055633" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "14" "ll" "-71.7357729939319" "0.666348063251049" "720.344256210674" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "14" "ll" "-87.8861883222405" "0.520218234636803" "922.689686829448" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "7" "33.8609755048558" "-61.7219510097116" "0.260655703030327" "1841.50967893517" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "7" "ll" "-55.5139236302906" "0.696881272682858" "688.783037822344" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "7" "ll" "-63.458507301826" "0.584512807455125" "821.196719520729" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "5" "36.8960172914068" "-67.7920345828136" "0.434842974677589" "1103.84673997756" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "5" "ll" "-53.42627393905" "0.701246442905618" "684.495450716467" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "5" "ll" "-61.9480593538826" "0.564331036077169" "850.564596511687" "959.999990942926" "mt"
"1" "mmds-MS" "2" "480" "24" "49.6288302008741" "-93.2576604017481" "0.517197673759066" "928.078420212706" "959.999990942926" "2"
"2" "cds-hnc" "2" "480" "24" "ll" "-86.6713631230611" "0.642333708149924" "747.275121809372" "959.999990942926" "mt"
"3" "cds-hnc" "2" "480" "24" "ll" "-94.2624894676798" "0.544419125527307" "881.673654530575" "959.999990942926" "mt"
