"distance","object","detected"
4.18538842464752,1,1
362.086925906432,2,1
121.243556529821,3,1
190.757602019539,4,1
375.877048314363,5,1
353.554589538076,6,1
338.724612012749,7,1
392.441824986425,8,1
304.814202240824,9,1
200,10,1
16.7375616029822,11,1
27.3616114660535,12,1
9.17722298161674,13,1
0,14,1
12.3893213293878,15,1
20.9343824971775,16,1
45.6939838579323,17,1
44.07227854,18,1
87.89277082,19,1
382.023723648658,20,1
152.869654658634,21,1
37.1961836459822,22,1
88.6901405172342,23,1
216.303746590335,24,1
91.2855445359911,25,1
8.3251424536067,26,1
142.216631037663,27,1
0,28,1
5.65371846580516,29,1
48.2333053967683,30,1
68.7057765746097,31,1
165.364248305955,32,1
67.9082486358668,33,1
25.2368656705927,34,1
391.435032429523,35,1
61.4739201874228,36,1
179.852765532083,37,1
73.3690439732432,38,1
49.4438514962911,39,1
179.252063942493,40,1
49.8350661336019,41,1
185.521821923764,42,1
348.6189327,43,1
476,44,1
41.0837256507109,45,1
40.7460861978839,46,1
53.1258623325181,47,1
127.507224120398,48,1
162.411705313643,49,1
151.757343768461,50,1
237.80738987595,51,1
106.550393352343,52,1
397,53,1
0,54,1
228.173536768371,55,1
0,56,1
235.264167287652,57,1
133.174110669036,58,1
260.085252882735,59,1
227.226015953241,60,1
75.8917935377376,61,1
20.4269855039054,62,1
215.04452793719,63,1
219.729772282584,64,1
27.3713753786267,65,1
156.206366650891,66,1
137.3324544,67,1
43.00484948,68,1
59.2930026825065,69,1
213.533098001508,70,1
158.318128816117,71,1
70.9138931699488,72,1
40.9820182065784,73,1
146,74,1
33.4831073971801,75,1
12.5996914789636,76,1
244.471980593373,77,1
130.023545865013,78,1
157.6848122046,79,1
125.19851738729,80,1
58.1849315648327,81,1
278.39391655976,82,1
224.268617724251,83,1
248.627249551554,84,1
64.04977583,85,1
289.808478805544,86,1
458,87,1
431,88,1
329,89,1
304.067769942673,90,1
202.791806791683,91,1
12.7699733232783,92,1
111.543185536741,93,1
14.5170953490453,94,1
47.1987797789423,95,1
21.13621154447,96,1
181.11322433168,97,1
190.282589684528,98,1
245.39485374075,99,1
248.750685657037,100,1
153,101,1
273.756993318553,102,1
176.2891141,103,1
353.080309105024,104,1
165.506708178822,105,1
283.574375278755,106,1
16.9609619231285,107,1
82.0642322057501,108,1
120.686935666836,109,1
33.9016462396449,110,1
22.7772520122448,111,1
87.3738353924943,112,1
356.802466359189,113,1
176.146380661853,114,1
79.8197851198192,115,1
397.050712919245,116,1
78.0934354705536,117,1
72,118,1
271.925033003998,119,1
11.2376379382053,120,1
141.645035918739,121,1
164.438182375668,122,1
413,123,1
462.0733827,124,1
25.7072874964093,125,1
95.3432216249823,126,1
385.620094714995,127,1
187.5743435,128,1
134.5045292,129,1
0,130,1
3.12942691645522,131,1
11.7323719279707,132,1
11.632961189379,133,1
69.8358478814923,134,1
43.241580354593,135,1
118.971418517479,136,1
122.507374921836,137,1
156.402796158311,138,1
49.6075522734014,139,1
119.183158607276,140,1
345.679560237836,141,1
15.2811530011925,142,1
45.0970903518586,143,1
78.3288158362707,144,1
238.775369782009,145,1
50.0907196070455,146,1
75.7027520560258,147,1
65.7109948962177,148,1
82.6404150922563,149,1
0,150,1
29.6887038245185,151,1
28.1907786235772,152,1
112.038392392542,153,1
73.6041080383167,154,1
16.4607589690448,155,1
31.3238910012998,156,1
213.056304218213,157,1
126.890294798118,158,1
28.103485467072,159,1
169.568135159403,160,1
33.4172763426497,161,1
43.1099537728622,162,1
93.5556850397786,163,1
490.629086890151,164,1
255.997414262792,165,1
305.469324163198,166,1
221,167,1
59,168,1
79,169,1
394.08867,170,1
18,171,1
266.984122411249,172,1
63.4421030626795,173,1
48.2226530452216,174,1
122,175,1
387,176,1
43.3909342265912,177,1
7.72704934216494,178,1
87.429494358655,179,1
135.537849620356,180,1
302.300444521348,181,1
273.942787442359,182,1
162,183,1
62.2609170860119,184,1
221.006839782792,185,1
214.256194647412,186,1
295.210477757997,187,1
44.3724807005246,188,1
110.585280819917,189,1
0,190,1
115.588964234034,191,1
47.2930662735007,192,1
341.846619719601,193,1
40.1033684930499,194,1
295.722718742229,195,1
196.534808422467,196,1
118.121629057911,197,1
123.193918314619,198,1
285.260320974071,199,1
231.3794623,200,1
147.7832512,201,1
22.9085299680935,202,1
134.905621471851,203,1
207.181320358281,204,1
165.506708178822,205,1
116.675558433064,206,1
341.150695075064,207,1
163,208,1
298.294220644335,209,1
178.794675444527,210,1
195,211,1
13.3710088763914,212,1
95.0067962929068,213,1
237.216921201816,214,1
110.813327254344,215,1
410.5090312,216,1
129.250180902795,217,1
66.8150229716658,218,1
173.349800075932,219,1
444.400290555876,220,1
444.400290555876,221,1
183.742175291759,222,1
0,223,1
63.8143772872409,224,1
212.610006192703,225,1
78.9879679173549,226,1
92.0781191885781,227,1
9.89920759144403,228,1
62.6374430336732,229,1
173.988366964836,230,1
184.026231066719,231,1
32.1942592698364,232,1
