"","","","","beta_1","","","",""
"1",3,30,1,-0.805496713285137,5.40449060940639,-8.80898121881278,54.9520046738018,82.6870750996765
"2",3,30,2,-0.877386689049206,6.66154135186807,-11.3230827037361,58.5051654849304,82.6870750996765
"3",3,30,3,-0.44656203474378,1.64553561609789,-1.29107123219579,42.4195646190482,82.6870750996765
"4",3,30,4,-0.369539765137405,1.24684107420380,-0.493682148407596,40.6488712479922,82.6870750996765
"5",3,30,5,-0.679661617862966,3.64916371067954,-5.29832742135909,49.6378399584846,82.6870750996765
"6",3,30,6,0.119014189108726,0.196178610409256,1.60764277918149,33.9822083054345,82.6870750996765
"7",3,30,7,-1.14941127161463,13.0163369312892,-24.0326738625783,75.6726072369241,82.6870750996765
"8",3,30,8,-0.756213601218623,4.65152903160107,-7.30305806320213,52.7380516515834,82.6870750996765
"9",3,30,9,-0.53553955853793,2.24958732530819,-2.49917465061638,44.816977769168,82.6870750996765
"10",3,30,10,-0.795758635684204,5.2487844764472,-8.4975689528944,54.5005230572612,82.6870750996765
"11",3,30,11,-0.862681442720015,6.38892020470241,-10.7778404094048,57.7463350093073,82.6870750996765
"12",3,30,12,-0.998284083221523,9.19822814615912,-16.3964562923182,65.3898843590716,82.6870750996765
"13",3,30,13,-0.609846433581677,2.89824842863412,-3.79649685726823,47.1465018868463,82.6870750996765
"14",3,30,14,-0.622617361909015,3.02478448017982,-4.04956896035964,47.5794869390527,82.6870750996765
"15",3,30,15,-0.974108105124603,8.65015222088992,-15.3003044417798,63.919511507744,82.6870750996765
"16",3,30,16,-0.538689377943093,2.27422666981921,-2.54845333963842,44.9094015479508,82.6870750996765
"17",3,30,17,-0.791755173942806,5.18576867586068,-8.37153735172136,54.3169342369286,82.6870750996765
"18",3,30,18,-0.48089406866447,1.85855451344866,-1.71710902689731,43.2972013730299,82.6870750996765
"19",3,30,19,-0.327020199349156,1.06734147099843,-0.134682941996856,39.7790857177722,82.6870750996765
"20",3,30,20,-0.474551419110442,1.81740079040451,-1.63480158080901,43.1307197147996,82.6870750996765
"21",3,30,21,-0.998997125339955,9.21468667269654,-16.4293733453931,65.4339722264781,82.6870750996765
"22",3,30,22,-1.37215161593301,19.4130075508738,-36.8260151017475,94.4091351971224,82.6870750996765
"23",3,30,23,-0.171540604412825,0.597939232365629,0.804121535268743,37.1534047113999,82.6870750996765
"24",3,30,24,-0.6588297851085,3.40961207709277,-4.81922415418553,48.8621316446219,82.6870750996765
"25",3,30,25,-0.719645337847444,4.14810140290093,-6.29620280580187,51.2070808405979,82.6870750996765
"26",3,30,26,-1.12888569609927,12.4635592664055,-22.927118532811,74.1641167161942,82.6870750996765
"27",3,30,27,-1.09333175193321,11.5287888681425,-21.0575777362849,71.6350900078703,82.6870750996765
"28",3,30,28,-1.05522515580511,10.5628195292645,-19.1256390585290,69.041674703737,82.6870750996765
"29",3,30,29,-0.753077928187093,4.60654513344412,-7.21309026688825,52.6030987512288,82.6870750996765
"30",3,30,30,-0.771982516031221,4.88300213939273,-7.76600427878546,53.4273314709732,82.6870750996765
"31",3,30,31,-0.492147744720173,1.93366137736499,-1.86732275472998,43.5975505648402,82.6870750996765
"32",3,30,32,-0.762143483003359,4.73754302507997,-7.47508605015995,52.9951707323373,82.6870750996765
"33",3,30,33,-1.42800140688515,21.0755627594039,-40.1511255188078,99.8269162422964,82.6870750996765
"34",3,30,34,-0.896717465459692,7.03201488124123,-12.0640297624825,59.5282010254398,82.6870750996765
"35",3,30,35,-0.87990211637429,6.7089726480637,-11.4179452961274,58.6366430447873,82.6870750996765
"36",3,30,36,-0.831320180571976,5.83415075612692,-9.66830151225384,56.1833311453006,82.6870750996765
"37",3,30,37,-1.02073906556893,9.7243888383805,-17.448777676761,66.798216164001,82.6870750996765
"38",3,30,38,-0.958519128212161,8.30722518707325,-14.6144503741465,62.9964701996158,82.6870750996765
"39",3,30,39,-0.816139112297336,5.57860558603798,-9.15721117207595,55.4534334833679,82.6870750996765
"40",3,30,40,-0.939946083587017,7.9096719860708,-13.8193439721416,61.9222312579774,82.6870750996765
"41",3,30,41,-1.00477643891043,9.34869484076518,-16.6973896815304,65.7928400120313,82.6870750996765
"42",3,30,42,-0.772371259887873,4.8888199693262,-7.77763993865241,53.4445489785647,82.6870750996765
"43",3,30,43,-1.04676882898419,10.353950663726,-18.707901327452,68.482487499277,82.6870750996765
"44",3,30,44,-0.640822120123375,3.21334338909377,-4.42668677818755,48.2140220076275,82.6870750996765
"45",3,30,45,-1.00227004667683,9.29044480948966,-16.5808896189793,65.6368706070235,82.6870750996765
"46",3,30,46,-0.848003347423947,6.12475517619154,-10.2495103523831,57.0054774031195,82.6870750996765
"47",3,30,47,-0.763045065922614,4.75072911331384,-7.50145822662769,53.034482672596,82.6870750996765
"48",3,30,48,-0.719815036140235,4.15033192276108,-6.30066384552216,51.2139712450121,82.6870750996765
"49",3,30,49,-0.956220667279915,8.25737275587304,-14.5147455117461,62.8620307868865,82.6870750996765
"50",3,30,50,-1.23331884971665,15.3573495578244,-28.7146991156488,82.2137755984485,82.6870750996765
"51",3,30,51,-0.809691707413357,5.47262912160483,-8.94525824320965,55.1486529558121,82.6870750996765
