"","","","","beta_1","beta_2","alpha_1","","","",""
"1",2,30,1,-9.87211874894079,-0.292081266277806,-3.94191064574429,0.938356835641085,4.12328632871783,39.1171012286853,58.4022943300631
"2",2,30,2,-3.23981297145452,-0.756750791243029,-10.3431118326524,4.65927013218194,-3.31854026436387,52.7612411603499,58.4022943300631
"3",2,30,3,6.25850747562655,-1.95827626356118,-0.120058538844488,4.07537348974259,-2.15074697948517,76.3738171381634,58.4022943300631
"4",2,30,4,-0.958332478396749,-0.626451180440642,-11.2181878644594,3.06368603746822,-0.127372074936448,47.7114121072011,58.4022943300631
"5",2,30,5,-0.910331403912418,3.32919578037004,0.283516785526225,0.70097581753224,4.59804836493552,39.9424093472918,58.4022943300631
"6",2,30,6,6.84947986152785,-2.54340585387441,0.146946029471683,1.12648548187632,3.74702903624736,64.2899596228996,58.4022943300631
"7",2,30,7,9.93878220797225,-1.31864272537907,-0.323316033418646,5.7913199327752,-5.58263986555041,66.1385466890983,58.4022943300631
"8",2,30,8,-0.0460595780635838,-4.47825192372146,-0.483987984068295,3.99714524001257,-1.99429048002513,249.720759658527,58.4022943300631
"9",2,30,9,-6.59223467958947,8.08028786716677,-9.2819777204229,-1.73219044411937e-08,6.00000003464381,30.0000004792453,58.4022943300631
"10",2,30,10,-0.759054225772582,-0.759058269054321,-0.0548097361346169,4.69265173745121,-3.38530347490242,52.8610322936516,58.4022943300631
"11",2,30,11,-0.69661471589141,-5.99997553768887,-0.349209800347679,4.76827348600014,-3.53654697200028,290.072852082354,58.4022943300631
"12",2,30,12,-0.508055537519992,-3.80435084701604,-0.129585925167501,4.80660861609045,-3.61321723218091,152.744259361011,58.4022943300631
"13",2,30,13,-0.336383714742194,-2.36818756208018,0.0948309734596237,4.47191928513286,-2.94383857026572,84.2395486530692,58.4022943300631
"14",2,30,14,4.72144689561954,-3.21519009051368,-0.180166016396576,2.50964159892741,0.980716802145176,109.712958510949,58.4022943300631
"15",2,30,15,-0.447530547283437,-3.13129912380697,0.0251357945555279,4.41562573711156,-2.83125147422313,109.272064614747,58.4022943300631
"16",2,30,16,-8.42627064483407,-0.821197219650797,-7.47808898478758,5.66280997798317,-5.32561995596633,55.6947073144214,58.4022943300631
"17",2,30,17,-0.210205699283724,-2.88119351507363,-0.00920739086673604,3.61072542695393,-1.22145085390787,99.6616520468864,58.4022943300631
"18",2,30,18,-0.399885995123713,-2.04637946324455,0.246453033279063,4.06314263861779,-2.12628527723557,70.1279589466142,58.4022943300631
"19",2,30,19,-1.70072308224224,5.1744579421608,-0.065368737322285,0.203110704929227,5.59377859014155,38.6086228523963,58.4022943300631
"20",2,30,20,6.3391370974986,-1.51178752409315,0.174356138861619,1.55560147566624,2.88879704866753,51.3577356849064,58.4022943300631
"21",2,30,21,-0.712142322947205,-0.712142357610018,-0.511981258419719,4.05045007572105,-2.10090015144210,50.9043981950134,58.4022943300631
"22",2,30,22,-0.793159933238781,-3.64782127720959,0.0328800920328829,7.77843326756644,-9.55686653513287,142.963269070225,58.4022943300631
"23",2,30,23,3.64070926733351,-4.09356024972698,0.129565869414273,0.330034665207192,5.33993066958562,73.1156618015421,58.4022943300631
"24",2,30,24,-0.332260417376344,-1.70402570292015,0.0725758452664941,5.62491922984751,-5.24983845969503,71.626805387823,58.4022943300631
"25",2,30,25,3.97243153830735,-1.93136940481044,0.201118394098958,1.27665585067400,3.44668829865199,55.2017501736428,58.4022943300631
"26",2,30,26,0.769601094861715,-3.28040851791246,-0.399527270530293,5.49255778653469,-4.98511557306938,160.285740810901,58.4022943300631
"27",2,30,27,-5.36297377960568,8.91874254083125,-5.27666164521131,-4.05998043185631e-08,6.00000008119961,30.0000053534097,58.4022943300631
"28",2,30,28,-0.0522833472126861,-1.93373575857239,0.267344879880090,2.27407854765806,1.45184290468388,59.8034404406127,58.4022943300631
"29",2,30,29,-0.273640604158698,-3.12603728409166,-0.175714047901600,5.31047684125225,-4.6209536825045,133.201500478842,58.4022943300631
"30",2,30,30,4.67743190868181,-1.47881774652811,-0.329922807435341,6.49012904966154,-6.98025809932309,72.960480068386,58.4022943300631
"31",2,30,31,-0.675631331845934,-0.675632639924887,-0.104626576030221,3.60176270333387,-1.20352540666775,49.4855996133584,58.4022943300631
"32",2,30,32,0.0535331229746263,-1.46390769745155,-0.432508915007547,9.7640252382439,-13.5280504764878,80.5820540740405,58.4022943300631
"33",2,30,33,4.84914287269194,-5.38017225455728,-0.291143566119474,0.547459061804322,4.90508187639136,154.218590733063,58.4022943300631
