"","","","","","beta_1","beta_2","alpha_1","","","",""
"1","mmds-c","3","30","1","0.294985494065283","-1.39461336303406","-0.242695083190803","0.436770866932457","-6.27381672637394","68.6858997961493","82.6870750996765"
"2","mmds-1","3","30","1","-0.805496713285137",NA,NA,"0.545930947889557","-8.80898121881278","54.9520046738018","82.6870750996765"
"3","cds-hnc","3","30","1",NA,NA,NA,"0.545932887550012","-8.80898121881276","54.9518094332643","82.6870750996765"
"4","cds-hrp","3","30","1",NA,NA,NA,"0.480800434218037","-8.1692271680745","62.3959503048106","82.6870750996765"
"5","cds-hnc-w","3","30","1",NA,NA,NA,"0.545932887550012","-8.80898121881276","54.9518094332643","82.6870750996765"
"6","cds-hrp-w","3","30","1",NA,NA,NA,"0.480800434218037","-8.1692271680745","62.3959503048106","82.6870750996765"
"7","mmds-c","3","30","2","9.07226364441802","-1.73188115539461","-0.536654394755802","0.31045115393307","-15.7503287689189","96.6335593214372","82.6870750996765"
"8","mmds-1","3","30","2","-0.877386689049206",NA,NA,"0.512775235337593","-11.3230827037361","58.5051654849304","82.6870750996765"
"9","cds-hnc","3","30","2",NA,NA,NA,"0.319508275197709","-18.7106803361642","93.8942817097187","82.6870750996765"
"10","cds-hrp","3","30","2",NA,NA,NA,"0.308789715314602","-16.4232104853039","97.1534947964032","82.6870750996765"
"11","cds-hnc-w","3","30","2",NA,NA,NA,"0.319508275197709","-18.7106803361642","93.8942817097187","82.6870750996765"
"12","cds-hrp-w","3","30","2",NA,NA,NA,"0.308789715314602","-16.4232104853039","97.1534947964032","82.6870750996765"
"13","mmds-c","3","30","3","11.167552263735","-1.29555838748043","-0.0623635498220836","0.533947420374441","-0.0601474062474852","56.1853074951873","82.6870750996765"
"14","mmds-1","3","30","3","-0.44656203474378",NA,NA,"0.707220837116483","-1.29107123219579","42.4195646190482","82.6870750996765"
"15","cds-hnc","3","30","3",NA,NA,NA,"0.707219459480512","-1.29107123219577","42.4196472507084","82.6870750996765"
"16","cds-hrp","3","30","3",NA,NA,NA,"0.531231566456463","-2.06154070064531","56.4725477443153","82.6870750996765"
"17","cds-hnc-w","3","30","3",NA,NA,NA,"0.707219459480512","-1.29107123219577","42.4196472507084","82.6870750996765"
"18","cds-hrp-w","3","30","3",NA,NA,NA,"0.531231566456463","-2.06154070064531","56.4725477443153","82.6870750996765"
"19","mmds-c","3","30","4","4.03451786434904","-2.61938494258558","-0.31323599186614","0.256415651050117","-5.24207214681545","116.99753847762","82.6870750996765"
"20","mmds-1","3","30","4","-0.369539765137405",NA,NA,"0.73802787331965","-0.493682148407596","40.6488712479922","82.6870750996765"
